	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
																																																																																																																												
																																																																																																																												
two_phase_run_multiview_v2_stratified_no_cross_and_senet.sh				0.0451	0.0602	0.0781	0.0283	0.0303	0.0316	0.0325	0.0374	0.0419	0.0451	0.0602	0.0781	0.009	0.006	0.0039	0.0164	0.0201	0.0239	0.0295	0.0383	0.049	0.0768	0.1036	0.1353	0.0112	0.0124	0.0133	0.0223	0.0251	0.0279	0.055	0.0637	0.0716	0.0095	0.01	0.0102	0.0199	0.0211	0.0219	0.0479	0.0514	0.0536	0.0164	0.0201	0.0239	0.0295	0.0383	0.049	0.0768	0.1036	0.1353	0.1562	0.1462	0.6976	0.1414	0.1459	0.7127	0.1252	0.1483	0.7265																																																													
two_phase_run_multiview_v2_stratified_no_senet.sh				0.0465	0.0609	0.0775	0.0308	0.0327	0.0339	0.0347	0.0393	0.0435	0.0465	0.0609	0.0775	0.0093	0.0061	0.0039	0.0146	0.0178	0.0208	0.0302	0.0375	0.0457	0.0799	0.1061	0.1365	0.011	0.012	0.0128	0.0237	0.026	0.0281	0.0592	0.0676	0.0753	0.0098	0.0102	0.0104	0.0215	0.0225	0.023	0.0523	0.0558	0.0579	0.0146	0.0178	0.0208	0.0302	0.0375	0.0457	0.0799	0.1061	0.1365	0.1513	0.1637	0.685	0.138	0.1606	0.7014	0.124	0.1638	0.7122																																																													
two_phase_run_multiview_v2_toys_stratified_7b_nosenet_nocross.sh				0.0526	0.07	0.0884	0.0336	0.036	0.0372	0.0383	0.044	0.0486	0.0526	0.07	0.0884	0.0105	0.007	0.0044	0.018	0.023	0.0284	0.0415	0.0557	0.0704	0.0926	0.1234	0.1561	0.0132	0.0148	0.0162	0.0308	0.0354	0.0391	0.0672	0.0772	0.0854	0.0116	0.0123	0.0127	0.0273	0.0291	0.0301	0.0588	0.063	0.0652	0.018	0.023	0.0284	0.0415	0.0557	0.0704	0.0926	0.1234	0.1561	0.2115	0.1993	0.5892	0.1986	0.2	0.6013	0.1861	0.2029	0.611																																																													
two_phase_run_multiview_v2_toys_stratified_7b_nosenet.sh				0.0522	0.0671	0.0839	0.0348	0.0368	0.0379	0.0391	0.0439	0.0482	0.0522	0.0671	0.0839	0.0104	0.0067	0.0042	0.0171	0.0203	0.0243	0.0397	0.0507	0.0648	0.093	0.1204	0.1503	0.0131	0.0141	0.0151	0.0304	0.034	0.0375	0.0692	0.0781	0.0856	0.0117	0.0121	0.0124	0.0273	0.0288	0.0298	0.0614	0.065	0.0671	0.0171	0.0203	0.0243	0.0397	0.0507	0.0648	0.093	0.1204	0.1503	0.2334	0.1925	0.5741	0.2193	0.1963	0.5845	0.2095	0.2012	0.5893																																																													
GPU_ID=0 nohup bash experiments/exp_sensitivity_infer_20.sh > sensitivity_infer_20.log 2>&1 &				0.0534	0.069	0.0868	0.0353	0.0374	0.0386	0.0398	0.0448	0.0493	0.0534	0.069	0.0868	0.0107	0.0069	0.0043	0.0171	0.0199	0.0237	0.0387	0.0511	0.0662	0.0963	0.1248	0.1565	0.0126	0.0135	0.0145	0.03	0.034	0.0378	0.0712	0.0804	0.0884	0.0111	0.0115	0.0117	0.0272	0.0288	0.0299	0.0629	0.0667	0.0689	0.0171	0.0199	0.0237	0.0387	0.0511	0.0662	0.0963	0.1248	0.1565	0.1943	0.1925	0.6132	0.1819	0.1956	0.6224	0.1756	0.1994	0.625																																																													
GPU_ID=1 nohup bash experiments/exp_sensitivity_infer_25.sh > sensitivity_infer_25.log 2>&1 &				0.0522	0.0671	0.0839	0.0349	0.0369	0.0381	0.0392	0.044	0.0483	0.0522	0.0671	0.0839	0.0104	0.0067	0.0042	0.0172	0.0203	0.0239	0.0391	0.051	0.0638	0.0933	0.1202	0.151	0.013	0.014	0.0149	0.0302	0.034	0.0372	0.0696	0.0783	0.0861	0.0115	0.012	0.0122	0.0272	0.0288	0.0297	0.0618	0.0654	0.0676	0.0172	0.0203	0.0239	0.0391	0.051	0.0638	0.0933	0.1202	0.151	0.2239	0.1937	0.5824	0.2122	0.1951	0.5928	0.2035	0.1988	0.5977																																																													
GPU_ID=1 nohup bash beauty_train/two_phase_run_multiview_v2_stratified_no_whiten.sh > logs/beauty_mv_no_whiten.log 2>&1 &				0.0452	0.0582	0.0743	0.0303	0.032	0.0331	0.034	0.0382	0.0422	0.0452	0.0582	0.0743	0.009	0.0058	0.0037	0.0144	0.0177	0.0203	0.0297	0.036	0.0435	0.0775	0.1011	0.131	0.0109	0.012	0.0126	0.0232	0.0252	0.0271	0.0578	0.0654	0.073	0.0097	0.0102	0.0104	0.021	0.0218	0.0224	0.0513	0.0545	0.0565	0.0144	0.0177	0.0203	0.0297	0.036	0.0435	0.0775	0.1011	0.131	0.1667	0.1586	0.6747	0.1458	0.1614	0.6928	0.1308	0.163	0.7062																																																													
GPU_ID=0 nohup bash beauty_train/two_phase_run_tfidf_llm_stratified_no_whiten.sh > logs/beauty_tfidf_llm_no_whiten.log 2>&1 & 				0.0445	0.0574	0.0736	0.03	0.0317	0.0328	0.0336	0.0377	0.0418	0.0445	0.0574	0.0736	0.0089	0.0057	0.0037	0.0149	0.0167	0.0185	0.0271	0.0335	0.0405	0.077	0.1008	0.1314	0.0116	0.0121	0.0126	0.0212	0.0233	0.0251	0.0576	0.0653	0.073	0.0104	0.0107	0.0108	0.0193	0.0202	0.0206	0.0513	0.0544	0.0565	0.0149	0.0167	0.0185	0.0271	0.0335	0.0405	0.077	0.1008	0.1314	0.1975	0.1268	0.6756	0.1697	0.1265	0.7037	0.146	0.1267	0.7274																																																													
