	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty	1221	log10	done	0.0346	0.0469	0.0596	0.0191	0.0207	0.0216	0.023	0.0269	0.0301	0.0346	0.0469	0.0596	0.0069	0.0047	0.003	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.0093	0.0101	0.0107	0.0174	0.0198	0.0215	0.0377	0.0447	0.0505	0.0075	0.0079	0.008	0.0146	0.0156	0.0161	0.0313	0.0342	0.0358	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.1974	0.2522	0.5501	0.1785	0.2442	0.5771	0.1637	0.2394	0.5967																																																												
tfidf					0.0457	0.0589	0.0749	0.031	0.0327	0.0338	0.0346	0.0389	0.0429	0.0457	0.0589	0.0749	0.0091	0.0059	0.0037	0.0159	0.0179	0.0204	0.0295	0.0358	0.044	0.0782	0.1025	0.132	0.0122	0.0129	0.0135	0.0233	0.0254	0.0275	0.0587	0.0666	0.074	0.011	0.0113	0.0115	0.0213	0.0222	0.0227	0.0523	0.0555	0.0575	0.0159	0.0179	0.0204	0.0295	0.0358	0.044	0.0782	0.1025	0.132	0.1785	0.1584	0.6631	0.1544	0.1579	0.6877	0.133	0.1585	0.7084	32.08%	25.59%	25.67%	62.30%	57.97%	56.48%	50.43%	44.61%	42.52%	32.08%	25.59%	25.67%	31.88%	25.53%	23.33%	8.90%	4.68%	5.70%	14.34%	7.51%	10.55%	37.43%	30.41%	29.67%	31.18%	27.72%	26.17%	33.91%	28.28%	27.91%	55.70%	48.99%	46.53%	46.67%	43.04%	43.75%	45.89%	42.31%	40.99%	67.09%	62.28%	60.61%	8.90%	4.68%	5.70%	14.34%	7.51%	10.55%	37.43%	30.41%	29.67%	-9.57%	-37.19%	20.54%	-13.50%	-35.34%	19.16%	-18.75%	-33.79%	18.72%
tfidf + llm					0.0457	0.0593	0.0754	0.0305	0.0323	0.0334	0.0343	0.0387	0.0427	0.0457	0.0593	0.0754	0.0091	0.0059	0.0038	0.0155	0.0179	0.0208	0.0291	0.0357	0.0433	0.0784	0.1034	0.1331	0.0118	0.0126	0.0133	0.0228	0.0249	0.0269	0.0584	0.0664	0.0739	0.0106	0.0109	0.0111	0.0207	0.0216	0.0221	0.0518	0.0551	0.0571	0.0155	0.0179	0.0208	0.0291	0.0357	0.0433	0.0784	0.1034	0.1331	0.1843	0.1643	0.6514	0.163	0.1634	0.6736	0.1443	0.163	0.6927	32.08%	26.44%	26.51%	59.69%	56.04%	54.63%	49.13%	43.87%	41.86%	32.08%	26.44%	26.51%	31.88%	25.53%	26.67%	6.16%	4.68%	7.77%	12.79%	7.21%	8.79%	37.79%	31.55%	30.75%	26.88%	24.75%	24.30%	31.03%	25.76%	25.12%	54.91%	48.55%	46.34%	41.33%	37.97%	38.75%	41.78%	38.46%	37.27%	65.50%	61.11%	59.50%	6.16%	4.68%	7.77%	12.79%	7.21%	8.79%	37.79%	31.55%	30.75%	-6.64%	-34.85%	18.41%	-8.68%	-33.09%	16.72%	-11.85%	-31.91%	16.09%
multi-view 7b					0.0457	0.0597	0.0763	0.0307	0.0325	0.0337	0.0344	0.0389	0.0431	0.0457	0.0597	0.0763	0.0091	0.006	0.0038	0.0158	0.0179	0.0202	0.0294	0.0368	0.0452	0.0783	0.1038	0.1344	0.0119	0.0125	0.0131	0.0232	0.0256	0.0277	0.0585	0.0667	0.0744	0.0105	0.0108	0.011	0.0212	0.0222	0.0227	0.0519	0.0553	0.0574	0.0158	0.0179	0.0202	0.0294	0.0368	0.0452	0.0783	0.1038	0.1344	0.1661	0.169	0.6649	0.1486	0.1677	0.6837	0.137	0.1647	0.6983	32.08%	27.29%	28.02%	60.73%	57.00%	56.02%	49.57%	44.61%	43.19%	32.08%	27.29%	28.02%	31.88%	27.66%	26.67%	8.22%	4.68%	4.66%	13.95%	10.51%	13.57%	37.61%	32.06%	32.02%	27.96%	23.76%	22.43%	33.33%	29.29%	28.84%	55.17%	49.22%	47.33%	40.00%	36.71%	37.50%	45.21%	42.31%	40.99%	65.81%	61.70%	60.34%	8.22%	4.68%	4.66%	13.95%	10.51%	13.57%	37.61%	32.06%	32.02%	-15.86%	-32.99%	20.87%	-16.75%	-31.33%	18.47%	-16.31%	-31.20%	17.03%
multi-view 14b					0.0462	0.0608	0.0775	0.0306	0.0325	0.0337	0.0345	0.0392	0.0434	0.0462	0.0608	0.0775	0.0092	0.0061	0.0039	0.0146	0.0181	0.0207	0.0297	0.0376	0.0453	0.0795	0.1057	0.1367	0.011	0.0121	0.0127	0.0228	0.0254	0.0273	0.059	0.0675	0.0753	0.0097	0.0102	0.0104	0.0206	0.0216	0.0221	0.0523	0.0558	0.0579	0.0146	0.0181	0.0207	0.0297	0.0376	0.0453	0.0795	0.1057	0.1367	0.1454	0.154	0.7006	0.1309	0.1552	0.7139	0.1166	0.1595	0.7239	33.53%	29.64%	30.03%	60.21%	57.00%	56.02%	50.00%	45.72%	44.19%	33.53%	29.64%	30.03%	33.33%	29.79%	30.00%	0.00%	5.85%	7.25%	15.12%	12.91%	13.82%	39.72%	34.48%	34.28%	18.28%	19.80%	18.69%	31.03%	28.28%	26.98%	56.50%	51.01%	49.11%	29.33%	29.11%	30.00%	41.10%	38.46%	37.27%	67.09%	63.16%	61.73%	0.00%	5.85%	7.25%	15.12%	12.91%	13.82%	39.72%	34.48%	34.28%	-26.34%	-38.94%	27.36%	-26.67%	-36.45%	23.70%	-28.77%	-33.38%	21.32%
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
