Coverage extraction (auto-generated)
========================================================================

## Beauty/Toys from seed files (Coverage_new@10)
  seed  dataset   config              Cov_new@10
----------------------------------------------------
    42  beauty    ID-only           16.650000000000002
  2023  beauty    ID-only                     NA
  2024  beauty    ID-only                   17.1
  2025  beauty    ID-only                  12.57
  2026  beauty    ID-only                  17.07
    42  beauty    MV-Align(7B)             13.51
  2023  beauty    MV-Align(7B)                NA
  2024  beauty    MV-Align(7B)             15.17
  2025  beauty    MV-Align(7B)      15.440000000000001
  2026  beauty    MV-Align(7B)      13.270000000000001
    42  beauty    TF-IDF                   14.81
  2023  beauty    TF-IDF                      NA
  2024  beauty    TF-IDF                   14.93
  2025  beauty    TF-IDF            15.909999999999998
  2026  beauty    TF-IDF                   14.78
    42  beauty    TF-IDF+LLM               16.25
  2023  beauty    TF-IDF+LLM                  NA
  2024  beauty    TF-IDF+LLM        15.110000000000001
  2025  beauty    TF-IDF+LLM               15.18
  2026  beauty    TF-IDF+LLM               13.41
    42  toys      ID-only                  19.33
  2023  toys      ID-only                     NA
  2024  toys      ID-only                   19.7
  2025  toys      ID-only                  19.67
  2026  toys      ID-only                  19.35
    42  toys      MV-Align(7B)      21.279999999999998
  2023  toys      MV-Align(7B)                NA
  2024  toys      MV-Align(7B)      24.709999999999997
  2025  toys      MV-Align(7B)             22.54
  2026  toys      MV-Align(7B)             20.66
    42  toys      TF-IDF            20.200000000000003
  2023  toys      TF-IDF                      NA
  2024  toys      TF-IDF            21.240000000000002
  2025  toys      TF-IDF            24.279999999999998
  2026  toys      TF-IDF                   22.28
    42  toys      TF-IDF+LLM               23.95
  2023  toys      TF-IDF+LLM                  NA
  2024  toys      TF-IDF+LLM               22.23
  2025  toys      TF-IDF+LLM               23.29
  2026  toys      TF-IDF+LLM                20.5

## Grocery/BC/others from run_metrics
----------------------------------------------------
