	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
infer boost 0.6																																																																																																																												
sasrec + base50ep	beauty				0.0346	0.0469	0.0596	0.0191	0.0207	0.0216	0.023	0.0269	0.0301	0.0346	0.0469	0.0596	0.0069	0.0047	0.003	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.0093	0.0101	0.0107	0.0174	0.0198	0.0215	0.0377	0.0447	0.0505	0.0075	0.0079	0.008	0.0146	0.0156	0.0161	0.0313	0.0342	0.0358	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.1974	0.2522	0.5501	0.1785	0.2442	0.5771	0.1637	0.2394	0.5967																																																												
tfidf					0.0433	0.0555	0.0707	0.0295	0.0311	0.0322	0.033	0.0369	0.0407	0.0433	0.0555	0.0707	0.0087	0.0055	0.0035	0.0146	0.0163	0.0178	0.0281	0.0339	0.0397	0.0742	0.0968	0.1258	0.0115	0.0121	0.0125	0.0219	0.0237	0.0252	0.0561	0.0634	0.0707	0.0105	0.0107	0.0109	0.0198	0.0206	0.021	0.0501	0.0531	0.0551	0.0146	0.0163	0.0178	0.0281	0.0339	0.0397	0.0742	0.0968	0.1258										25.14%	18.34%	18.62%	54.45%	50.24%	49.07%	43.48%	37.17%	35.22%	25.14%	18.34%	18.62%	26.09%	17.02%	16.67%	0.00%	-4.68%	-7.77%	8.91%	1.80%	-0.25%	30.40%	23.16%	23.58%	23.66%	19.80%	16.82%	25.86%	19.70%	17.21%	48.81%	41.83%	40.00%	40.00%	35.44%	36.25%	35.62%	32.05%	30.43%	60.06%	55.26%	53.91%	0.00%	-4.68%	-7.77%	8.91%	1.80%	-0.25%	30.40%	23.16%	23.58%									
tfidf + llm					0.0435	0.056	0.0708	0.0297	0.0313	0.0323	0.0331	0.0371	0.0408	0.0435	0.056	0.0708	0.0087	0.0056	0.0035	0.0147	0.0161	0.018	0.0276	0.0331	0.0391	0.0749	0.0982	0.1263	0.0118	0.0123	0.0127	0.0219	0.0237	0.0252	0.0563	0.0638	0.0709	0.0108	0.011	0.0111	0.02	0.0208	0.0212	0.0502	0.0532	0.0552	0.0147	0.0161	0.018	0.0276	0.0331	0.0391	0.0749	0.0982	0.1263										25.72%	19.40%	18.79%	55.50%	51.21%	49.54%	43.91%	37.92%	35.55%	25.72%	19.40%	18.79%	26.09%	19.15%	16.67%	0.68%	-5.85%	-6.74%	6.98%	-0.60%	-1.76%	31.63%	24.94%	24.07%	26.88%	21.78%	18.69%	25.86%	19.70%	17.21%	49.34%	42.73%	40.40%	44.00%	39.24%	38.75%	36.99%	33.33%	31.68%	60.38%	55.56%	54.19%	0.68%	-5.85%	-6.74%	6.98%	-0.60%	-1.76%	31.63%	24.94%	24.07%									
multi-view 7b					0.0445	0.0573	0.073	0.03	0.0317	0.0328	0.0336	0.0377	0.0417	0.0445	0.0573	0.073	0.0089	0.0057	0.0037	0.0156	0.0176	0.02	0.0288	0.0353	0.0432	0.0761	0.0996	0.1285	0.0121	0.0127	0.0133	0.0229	0.025	0.027	0.0568	0.0644	0.0717	0.0108	0.0111	0.0113	0.0209	0.0218	0.0224	0.0505	0.0536	0.0556	0.0156	0.0176	0.02	0.0288	0.0353	0.0432	0.0761	0.0996	0.1285										28.61%	22.17%	22.48%	57.07%	53.14%	51.85%	46.09%	40.15%	38.54%	28.61%	22.17%	22.48%	28.99%	21.28%	23.33%	6.85%	2.92%	3.63%	11.63%	6.01%	8.54%	33.74%	26.72%	26.23%	30.11%	25.74%	24.30%	31.61%	26.26%	25.58%	50.66%	44.07%	41.98%	44.00%	40.51%	41.25%	43.15%	39.74%	39.13%	61.34%	56.73%	55.31%	6.85%	2.92%	3.63%	11.63%	6.01%	8.54%	33.74%	26.72%	26.23%									
multi-view 14b					0.0449	0.0583	0.0742	0.0301	0.0319	0.033	0.0338	0.0381	0.0421	0.0449	0.0583	0.0742	0.009	0.0058	0.0037	0.0152	0.0172	0.0196	0.0288	0.0355	0.0425	0.077	0.1016	0.1314	0.0117	0.0123	0.0129	0.0227	0.0248	0.0266	0.0574	0.0654	0.0729	0.0105	0.0108	0.0109	0.0206	0.0215	0.022	0.051	0.0542	0.0563	0.0152	0.0172	0.0196	0.0288	0.0355	0.0425	0.077	0.1016	0.1314										29.77%	24.31%	24.50%	57.59%	54.11%	52.78%	46.96%	41.64%	39.87%	29.77%	24.31%	24.50%	30.43%	23.40%	23.33%	4.11%	0.58%	1.55%	11.63%	6.61%	6.78%	35.33%	29.26%	29.08%	25.81%	21.78%	20.56%	30.46%	25.25%	23.72%	52.25%	46.31%	44.36%	40.00%	36.71%	36.25%	41.10%	37.82%	36.65%	62.94%	58.48%	57.26%	4.11%	0.58%	1.55%	11.63%	6.61%	6.78%	35.33%	29.26%	29.08%									
																																																																																																																												
																																																																																																																												
sasrec + 50ep	toy				0.046	0.0597	0.0726	0.0231	0.0249	0.0258	0.0288	0.0332	0.0365	0.046	0.0597	0.0726	0.0092	0.006	0.0036	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.01	0.011	0.0116	0.022	0.0253	0.0276	0.051	0.0592	0.0653	0.008	0.0084	0.0086	0.0173	0.0187	0.0193	0.0411	0.0445	0.0461	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.2083	0.2435	0.5476	0.1905	0.232	0.5771	0.1763	0.2252	0.5983																																																												
tfidf					0.0504	0.0626	0.0765	0.0348	0.0364	0.0373	0.0387	0.0426	0.0461	0.0504	0.0626	0.0765	0.0101	0.0063	0.0038	0.0169	0.0184	0.0203	0.0374	0.0459	0.0545	0.0902	0.1133	0.1401	0.0134	0.0139	0.0144	0.029	0.0318	0.034	0.0688	0.0762	0.083	0.0123	0.0125	0.0126	0.0263	0.0274	0.028	0.0617	0.0648	0.0667	0.0169	0.0184	0.0203	0.0374	0.0459	0.0545	0.0902	0.1133	0.1401										9.57%	4.86%	5.37%	50.65%	46.18%	44.57%	34.38%	28.31%	26.30%	9.57%	4.86%	5.37%	9.78%	5.00%	5.56%	4.97%	-3.66%	-4.69%	3.60%	-0.43%	-1.27%	11.36%	6.79%	7.52%	34.00%	26.36%	24.14%	31.82%	25.69%	23.19%	34.90%	28.72%	27.11%	53.75%	48.81%	46.51%	52.02%	46.52%	45.08%	50.12%	45.62%	44.69%	4.97%	-3.66%	-4.69%	3.60%	-0.43%	-1.27%	11.36%	6.79%	7.52%									
tfidf + llm					0.0511	0.0641	0.0789	0.0351	0.0368	0.0379	0.0391	0.0433	0.047	0.0511	0.0641	0.0789	0.0102	0.0064	0.0039	0.0172	0.0194	0.0219	0.0381	0.0474	0.0575	0.0913	0.1155	0.1435	0.0136	0.0143	0.0149	0.03	0.033	0.0355	0.0693	0.077	0.0841	0.0124	0.0127	0.0128	0.0273	0.0285	0.0292	0.062	0.0652	0.0671	0.0172	0.0194	0.0219	0.0381	0.0474	0.0575	0.0913	0.1155	0.1435										11.09%	7.37%	8.68%	51.95%	47.79%	46.90%	35.76%	30.42%	28.77%	11.09%	7.37%	8.68%	10.87%	6.67%	8.33%	6.83%	1.57%	2.82%	5.54%	2.82%	4.17%	12.72%	8.86%	10.13%	36.00%	30.00%	28.45%	36.36%	30.43%	28.62%	35.88%	30.07%	28.79%	55.00%	51.19%	48.84%	57.80%	52.41%	51.30%	50.85%	46.52%	45.55%	6.83%	1.57%	2.82%	5.54%	2.82%	4.17%	12.72%	8.86%	10.13%									
