seed 2023	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty				0.035	0.0472	0.0595	0.0193	0.021	0.0218	0.0232	0.0272	0.0303	0.035	0.0472	0.0595	0.007	0.0047	0.003	0.0143	0.0173	0.0192	0.0248	0.0323	0.0385	0.0582	0.0797	0.1022	0.0091	0.01	0.0105	0.0166	0.019	0.0206	0.0387	0.0456	0.0513	0.0073	0.0077	0.0079	0.0139	0.0149	0.0153	0.0322	0.0351	0.0367	0.0143	0.0173	0.0192	0.0248	0.0323	0.0385	0.0582	0.0797	0.1022	0.2003	0.2491	0.5502	0.1816	0.24	0.5782	0.1663	0.2349	0.5987																																																												
tfidf					0.0432	0.0554	0.0697	0.0293	0.031	0.0319	0.0328	0.0367	0.0403	0.0432	0.0554	0.0697	0.0086	0.0055	0.0035	0.0143	0.016	0.0173	0.0272	0.0326	0.0383	0.0745	0.0973	0.1246	0.0112	0.0118	0.0121	0.0212	0.023	0.0244	0.0561	0.0635	0.0704	0.0102	0.0104	0.0105	0.0192	0.02	0.0204	0.05	0.0531	0.055	0.0143	0.016	0.0173	0.0272	0.0326	0.0383	0.0745	0.0973	0.1246	0.1744	0.1361	0.6895	0.1481	0.1363	0.7156	0.1263	0.1361	0.7377	23.43%	17.37%	17.14%	51.81%	47.62%	46.33%	41.38%	34.93%	33.00%	23.43%	17.37%	17.14%	22.86%	17.02%	16.67%	0.00%	-7.51%	-9.90%	9.68%	0.93%	-0.52%	28.01%	22.08%	21.92%	23.08%	18.00%	15.24%	27.71%	21.05%	18.45%	44.96%	39.25%	37.23%	39.73%	35.06%	32.91%	38.13%	34.23%	33.33%	55.28%	51.28%	49.86%	0.00%	-7.51%	-9.90%	9.68%	0.93%	-0.52%	28.01%	22.08%	21.92%	-12.93%	-45.36%	25.32%	-18.45%	-43.21%	23.76%	-24.05%	-42.06%	23.22%
tfidf + llm					0.0438	0.0563	0.0709	0.0298	0.0315	0.0325	0.0333	0.0373	0.041	0.0438	0.0563	0.0709	0.0088	0.0056	0.0035	0.0152	0.0165	0.0188	0.0276	0.0334	0.0401	0.0752	0.0987	0.1258	0.0122	0.0126	0.0132	0.0218	0.0237	0.0254	0.0566	0.0641	0.0709	0.0112	0.0113	0.0115	0.02	0.0207	0.0212	0.0504	0.0535	0.0554	0.0152	0.0165	0.0188	0.0276	0.0334	0.0401	0.0752	0.0987	0.1258	0.1896	0.1418	0.6686	0.1625	0.1425	0.695	0.1394	0.1436	0.717	25.14%	19.28%	19.16%	54.40%	50.00%	49.08%	43.53%	37.13%	35.31%	25.14%	19.28%	19.16%	25.71%	19.15%	16.67%	6.29%	-4.62%	-2.08%	11.29%	3.41%	4.16%	29.21%	23.84%	23.09%	34.07%	26.00%	25.71%	31.33%	24.74%	23.30%	46.25%	40.57%	38.21%	53.42%	46.75%	45.57%	43.88%	38.93%	38.56%	56.52%	52.42%	50.95%	6.29%	-4.62%	-2.08%	11.29%	3.41%	4.16%	29.21%	23.84%	23.09%	-5.34%	-43.08%	21.52%	-10.52%	-40.63%	20.20%	-16.18%	-38.87%	19.76%
multi-view 7b					0.045	0.0581	0.0738	0.0303	0.0321	0.0331	0.034	0.0382	0.0421	0.045	0.0581	0.0738	0.009	0.0058	0.0037	0.0154	0.017	0.0191	0.0289	0.0355	0.0426	0.0772	0.1012	0.1307	0.0121	0.0126	0.0131	0.0231	0.0252	0.027	0.0575	0.0653	0.0727	0.011	0.0112	0.0113	0.0212	0.022	0.0225	0.051	0.0542	0.0562	0.0154	0.017	0.0191	0.0289	0.0355	0.0426	0.0772	0.1012	0.1307	0.1529	0.1537	0.6933	0.1351	0.154	0.711	0.1212	0.1552	0.7236	28.57%	23.09%	24.03%	56.99%	52.86%	51.83%	46.55%	40.44%	38.94%	28.57%	23.09%	24.03%	28.57%	23.40%	23.33%	7.69%	-1.73%	-0.52%	16.53%	9.91%	10.65%	32.65%	26.98%	27.89%	32.97%	26.00%	24.76%	39.16%	32.63%	31.07%	48.58%	43.20%	41.72%	50.68%	45.45%	43.04%	52.52%	47.65%	47.06%	58.39%	54.42%	53.13%	7.69%	-1.73%	-0.52%	16.53%	9.91%	10.65%	32.65%	26.98%	27.89%	-23.66%	-38.30%	26.01%	-25.61%	-35.83%	22.97%	-27.12%	-33.93%	20.86%
multi-view 14b					0.0447	0.0578	0.0739	0.0299	0.0317	0.0328	0.0336	0.0378	0.0419	0.0447	0.0578	0.0739	0.0089	0.0058	0.0037	0.0156	0.0176	0.0201	0.0291	0.0363	0.0437	0.0763	0.1002	0.1301	0.0117	0.0124	0.013	0.0232	0.0254	0.0273	0.0568	0.0645	0.072	0.0105	0.0107	0.0109	0.0212	0.0221	0.0226	0.0503	0.0535	0.0556	0.0156	0.0176	0.0201	0.0291	0.0363	0.0437	0.0763	0.1002	0.1301	0.1662	0.1566	0.6772	0.1469	0.1576	0.6955	0.1314	0.1601	0.7085	27.71%	22.46%	24.20%	54.92%	50.95%	50.46%	44.83%	38.97%	38.28%	27.71%	22.46%	24.20%	27.14%	23.40%	23.33%	9.09%	1.73%	4.69%	17.34%	12.38%	13.51%	31.10%	25.72%	27.30%	28.57%	24.00%	23.81%	39.76%	33.68%	32.52%	46.77%	41.45%	40.35%	43.84%	38.96%	37.97%	52.52%	48.32%	47.71%	56.21%	52.42%	51.50%	9.09%	1.73%	4.69%	17.34%	12.38%	13.51%	31.10%	25.72%	27.30%	-17.02%	-37.13%	23.08%	-19.11%	-34.33%	20.29%	-20.99%	-31.84%	18.34%
																																																																																																																												
																																																																																																																												
sasrec + 50ep	toy				0.0456	0.0587	0.0716	0.0229	0.0247	0.0255	0.0285	0.0328	0.036	0.0456	0.0587	0.0716	0.0091	0.0059	0.0036	0.016	0.0192	0.0213	0.0358	0.0456	0.0541	0.0803	0.1043	0.1285	0.0098	0.0108	0.0114	0.0218	0.025	0.0272	0.0507	0.0584	0.0646	0.0077	0.0082	0.0083	0.0172	0.0185	0.0191	0.0408	0.0441	0.0457	0.016	0.0192	0.0213	0.0358	0.0456	0.0541	0.0803	0.1043	0.1285	0.2081	0.2489	0.5425	0.1906	0.2387	0.5703	0.177	0.2333	0.5894																																																												
tfidf					0.0502	0.0628	0.0772	0.0347	0.0364	0.0374	0.0386	0.0426	0.0463	0.0502	0.0628	0.0772	0.01	0.0063	0.0039	0.0164	0.018	0.0197	0.0377	0.0461	0.0552	0.0898	0.1138	0.1416	0.013	0.0135	0.0139	0.0293	0.032	0.0343	0.0687	0.0764	0.0834	0.0119	0.0121	0.0122	0.0264	0.0276	0.0282	0.0617	0.0649	0.0668	0.0164	0.018	0.0197	0.0377	0.0461	0.0552	0.0898	0.1138	0.1416	0.2256	0.1804	0.594	0.202	0.1788	0.6191	0.1819	0.1785	0.6396	10.09%	6.98%	7.82%	51.53%	47.37%	46.67%	35.44%	29.88%	28.61%	10.09%	6.98%	7.82%	9.89%	6.78%	8.33%	2.50%	-6.25%	-7.51%	5.31%	1.10%	2.03%	11.83%	9.11%	10.19%	32.65%	25.00%	21.93%	34.40%	28.00%	26.10%	35.50%	30.82%	29.10%	54.55%	47.56%	46.99%	53.49%	49.19%	47.64%	51.23%	47.17%	46.17%	2.50%	-6.25%	-7.51%	5.31%	1.10%	2.03%	11.83%	9.11%	10.19%	8.41%	-27.52%	9.49%	5.98%	-25.09%	8.56%	2.77%	-23.49%	8.52%
tfidf + llm					0.0509	0.064	0.0782	0.0351	0.0368	0.0378	0.039	0.0433	0.0468	0.0509	0.064	0.0782	0.0102	0.0064	0.0039	0.0173	0.019	0.0215	0.0383	0.0469	0.0568	0.0907	0.1159	0.1424	0.0138	0.0143	0.0149	0.0298	0.0326	0.0351	0.0691	0.0773	0.0839	0.0126	0.0128	0.013	0.027	0.0281	0.0288	0.062	0.0654	0.0672	0.0173	0.019	0.0215	0.0383	0.0469	0.0568	0.0907	0.1159	0.1424	0.2614	0.1881	0.5505	0.2395	0.1886	0.5719	0.2218	0.1892	0.589	11.62%	9.03%	9.22%	53.28%	48.99%	48.24%	36.84%	32.01%	30.00%	11.62%	9.03%	9.22%	12.09%	8.47%	8.33%	8.13%	-1.04%	0.94%	6.98%	2.85%	4.99%	12.95%	11.12%	10.82%	40.82%	32.41%	30.70%	36.70%	30.40%	29.04%	36.29%	32.36%	29.88%	63.64%	56.10%	56.63%	56.98%	51.89%	50.79%	51.96%	48.30%	47.05%	8.13%	-1.04%	0.94%	6.98%	2.85%	4.99%	12.95%	11.12%	10.82%	25.61%	-24.43%	1.47%	25.66%	-20.99%	0.28%	25.31%	-18.90%	-0.07%
