seed 2025																																																																																																																												
	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty				0.0424	0.0573	0.0738	0.0194	0.0214	0.0225	0.0251	0.03	0.0341	0.0424	0.0573	0.0738	0.0085	0.0057	0.0037	0.016	0.0189	0.0216	0.0272	0.0348	0.0425	0.0722	0.0994	0.1299	0.0094	0.0104	0.011	0.0164	0.0189	0.0208	0.0427	0.0515	0.0592	0.0072	0.0076	0.0078	0.0128	0.0138	0.0144	0.0329	0.0365	0.0386	0.016	0.0189	0.0216	0.0272	0.0348	0.0425	0.0722	0.0994	0.1299	0.149	0.1637	0.6864	0.1257	0.1463	0.7272	0.1066	0.1369	0.7559																																																												
tfidf					0.0433	0.0555	0.0707	0.0295	0.0311	0.0322	0.033	0.0369	0.0407	0.0433	0.0555	0.0707	0.0087	0.0055	0.0035	0.0146	0.0163	0.0178	0.0281	0.0339	0.0397	0.0742	0.0968	0.1258	0.0115	0.0121	0.0125	0.0219	0.0237	0.0252	0.0561	0.0634	0.0707	0.0105	0.0107	0.0109	0.0198	0.0206	0.021	0.0501	0.0531	0.0551	0.0146	0.0163	0.0178	0.0281	0.0339	0.0397	0.0742	0.0968	0.1258	0.1862	0.1413	0.6725	0.1591	0.1425	0.6984	0.1356	0.1432	0.7212	2.12%	-3.14%	-4.20%	52.06%	45.33%	43.11%	31.47%	23.00%	19.35%	2.12%	-3.14%	-4.20%	2.35%	-3.51%	-5.41%	-8.75%	-13.76%	-17.59%	3.31%	-2.59%	-6.59%	2.77%	-2.62%	-3.16%	22.34%	16.35%	13.64%	33.54%	25.40%	21.15%	31.38%	23.11%	19.43%	45.83%	40.79%	39.74%	54.69%	49.28%	45.83%	52.28%	45.48%	42.75%	-8.75%	-13.76%	-17.59%	3.31%	-2.59%	-6.59%	2.77%	-2.62%	-3.16%	24.97%	-13.68%	-2.03%	26.57%	-2.60%	-3.96%	27.20%	4.60%	-4.59%
tfidf + llm					0.0436	0.0558	0.0705	0.0297	0.0313	0.0323	0.0331	0.0371	0.0408	0.0436	0.0558	0.0705	0.0087	0.0056	0.0035	0.0145	0.0161	0.0184	0.0279	0.0336	0.0402	0.075	0.0976	0.125	0.0117	0.0122	0.0128	0.0219	0.0238	0.0254	0.0564	0.0637	0.0706	0.0107	0.0109	0.0111	0.02	0.0207	0.0212	0.0503	0.0533	0.0552	0.0145	0.0161	0.0184	0.0279	0.0336	0.0402	0.075	0.0976	0.125	0.1782	0.135	0.6867	0.1518	0.1354	0.7128	0.1282	0.1363	0.7355	2.83%	-2.62%	-4.47%	53.09%	46.26%	43.56%	31.87%	23.67%	19.65%	2.83%	-2.62%	-4.47%	2.35%	-1.75%	-5.41%	-9.38%	-14.81%	-14.81%	2.57%	-3.45%	-5.41%	3.88%	-1.81%	-3.77%	24.47%	17.31%	16.36%	33.54%	25.93%	22.12%	32.08%	23.69%	19.26%	48.61%	43.42%	42.31%	56.25%	50.00%	47.22%	52.89%	46.03%	43.01%	-9.38%	-14.81%	-14.81%	2.57%	-3.45%	-5.41%	3.88%	-1.81%	-3.77%	19.60%	-17.53%	0.04%	20.76%	-7.45%	-1.98%	20.26%	-0.44%	-2.70%
multi-view 7b					0.0445	0.0573	0.073	0.03	0.0317	0.0328	0.0336	0.0377	0.0417	0.0445	0.0573	0.073	0.0089	0.0057	0.0037	0.0156	0.0176	0.02	0.0288	0.0353	0.0432	0.0761	0.0996	0.1285	0.0121	0.0127	0.0133	0.0229	0.025	0.027	0.0568	0.0644	0.0717	0.0108	0.0111	0.0113	0.0209	0.0218	0.0224	0.0505	0.0536	0.0556	0.0156	0.0176	0.02	0.0288	0.0353	0.0432	0.0761	0.0996	0.1285	0.1756	0.1525	0.672	0.1544	0.153	0.6926	0.1369	0.1544	0.7087	4.95%	0.00%	-1.08%	54.64%	48.13%	45.78%	33.86%	25.67%	22.29%	4.95%	0.00%	-1.08%	4.71%	0.00%	0.00%	-2.50%	-6.88%	-7.41%	5.88%	1.44%	1.65%	5.40%	0.20%	-1.08%	28.72%	22.12%	20.91%	39.63%	32.28%	29.81%	33.02%	25.05%	21.11%	50.00%	46.05%	44.87%	63.28%	57.97%	55.56%	53.50%	46.85%	44.04%	-2.50%	-6.88%	-7.41%	5.88%	1.44%	1.65%	5.40%	0.20%	-1.08%	17.85%	-6.84%	-2.10%	22.83%	4.58%	-4.76%	28.42%	12.78%	-6.24%
multi-view 14b					0.0449	0.0583	0.0742	0.0301	0.0319	0.033	0.0338	0.0381	0.0421	0.0449	0.0583	0.0742	0.009	0.0058	0.0037	0.0152	0.0172	0.0196	0.0288	0.0355	0.0425	0.077	0.1016	0.1314	0.0117	0.0123	0.0129	0.0227	0.0248	0.0266	0.0574	0.0654	0.0729	0.0105	0.0108	0.0109	0.0206	0.0215	0.022	0.051	0.0542	0.0563	0.0152	0.0172	0.0196	0.0288	0.0355	0.0425	0.077	0.1016	0.1314	0.1568	0.1416	0.7016	0.136	0.1416	0.7224	0.1195	0.1426	0.7379	5.90%	1.75%	0.54%	55.15%	49.07%	46.67%	34.66%	27.00%	23.46%	5.90%	1.75%	0.54%	5.88%	1.75%	0.00%	-5.00%	-8.99%	-9.26%	5.88%	2.01%	0.00%	6.65%	2.21%	1.15%	24.47%	18.27%	17.27%	38.41%	31.22%	27.88%	34.43%	26.99%	23.14%	45.83%	42.11%	39.74%	60.94%	55.80%	52.78%	55.02%	48.49%	45.85%	-5.00%	-8.99%	-9.26%	5.88%	2.01%	0.00%	6.65%	2.21%	1.15%	5.23%	-13.50%	2.21%	8.19%	-3.21%	-0.66%	12.10%	4.16%	-2.38%
																																																																																																																												
																																																																																																																												
sasrec + 50ep	toy				0.0461	0.0593	0.0725	0.023	0.0248	0.0257	0.0287	0.033	0.0364	0.0461	0.0593	0.0725	0.0092	0.0059	0.0036	0.0158	0.0191	0.0212	0.0358	0.0463	0.0551	0.0815	0.1052	0.1302	0.0098	0.0109	0.0114	0.0219	0.0253	0.0275	0.0511	0.0588	0.0651	0.0078	0.0082	0.0084	0.0173	0.0187	0.0193	0.041	0.0442	0.0459	0.0158	0.0191	0.0212	0.0358	0.0463	0.0551	0.0815	0.1052	0.1302	0.2148	0.2526	0.5321	0.1967	0.2444	0.5585	0.1822	0.2402	0.5774																																																												
tfidf					0.0504	0.0626	0.0765	0.0348	0.0364	0.0373	0.0387	0.0426	0.0461	0.0504	0.0626	0.0765	0.0101	0.0063	0.0038	0.0169	0.0184	0.0203	0.0374	0.0459	0.0545	0.0902	0.1133	0.1401	0.0134	0.0139	0.0144	0.029	0.0318	0.034	0.0688	0.0762	0.083	0.0123	0.0125	0.0126	0.0263	0.0274	0.028	0.0617	0.0648	0.0667	0.0169	0.0184	0.0203	0.0374	0.0459	0.0545	0.0902	0.1133	0.1401	0.2675	0.1874	0.5451	0.2428	0.1874	0.5698	0.2227	0.1875	0.5898	9.33%	5.56%	5.52%	51.30%	46.77%	45.14%	34.84%	29.09%	26.65%	9.33%	5.56%	5.52%	9.78%	6.78%	5.56%	6.96%	-3.66%	-4.25%	4.47%	-0.86%	-1.09%	10.67%	7.70%	7.60%	36.73%	27.52%	26.32%	32.42%	25.69%	23.64%	34.64%	29.59%	27.50%	57.69%	52.44%	50.00%	52.02%	46.52%	45.08%	50.49%	46.61%	45.32%	6.96%	-3.66%	-4.25%	4.47%	-0.86%	-1.09%	10.67%	7.70%	7.60%	24.53%	-25.81%	2.44%	23.44%	-23.32%	2.02%	22.23%	-21.94%	2.15%
tfidf + llm					0.0511	0.0641	0.0789	0.0351	0.0368	0.0379	0.0391	0.0433	0.047	0.0511	0.0641	0.0789	0.0102	0.0064	0.0039	0.0172	0.0194	0.0219	0.0381	0.0474	0.0575	0.0913	0.1155	0.1435	0.0136	0.0143	0.0149	0.03	0.033	0.0355	0.0693	0.077	0.0841	0.0124	0.0127	0.0128	0.0273	0.0285	0.0292	0.062	0.0652	0.0671	0.0172	0.0194	0.0219	0.0381	0.0474	0.0575	0.0913	0.1155	0.1435	0.2557	0.1907	0.5537	0.2329	0.1908	0.5763	0.2141	0.1915	0.5944	10.85%	8.09%	8.83%	52.61%	48.39%	47.47%	36.24%	31.21%	29.12%	10.85%	8.09%	8.83%	10.87%	8.47%	8.33%	8.86%	1.57%	3.30%	6.42%	2.38%	4.36%	12.02%	9.79%	10.22%	38.78%	31.19%	30.70%	36.99%	30.43%	29.09%	35.62%	30.95%	29.19%	58.97%	54.88%	52.38%	57.80%	52.41%	51.30%	51.22%	47.51%	46.19%	8.86%	1.57%	3.30%	6.42%	2.38%	4.36%	12.02%	9.79%	10.22%	19.04%	-24.51%	4.06%	18.40%	-21.93%	3.19%	17.51%	-20.27%	2.94%
