	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
base50ep	beauty		done	0.0346	0.0469	0.0596	0.0191	0.0207	0.0216	0.023	0.0269	0.0301	0.0346	0.0469	0.0596	0.0069	0.0047	0.003	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.0093	0.0101	0.0107	0.0174	0.0198	0.0215	0.0377	0.0447	0.0505	0.0075	0.0079	0.008	0.0146	0.0156	0.0161	0.0313	0.0342	0.0358	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.1974	0.2522	0.5501	0.1785	0.2442	0.5771	0.1637	0.2394	0.5967																																																													
exp_M5 + short_phaseA_5ep + long_phaseB_55ep + multiview + 7b + beauty + 5090				0.0454	0.0598	0.0775	0.0289	0.0309	0.0321	0.033	0.0377	0.0421	0.0454	0.0598	0.0775	0.0091	0.006	0.0039	0.0166	0.0202	0.0235	0.0302	0.0383	0.0475	0.077	0.1027	0.1349	0.0114	0.0126	0.0134	0.0229	0.0254	0.0278	0.0558	0.0641	0.0722	0.0097	0.0102	0.0104	0.0204	0.0215	0.0221	0.0488	0.0522	0.0544	0.0166	0.0202	0.0235	0.0302	0.0383	0.0475	0.077	0.1027	0.1349	0.1867	0.1526	0.6607	0.1691	0.1517	0.6792	0.1506	0.1515	0.6979	31.21%	27.51%	30.03%	51.31%	49.28%	48.61%	43.48%	40.15%	39.87%	31.21%	27.51%	30.03%	31.88%	27.66%	30.00%	13.70%	18.13%	21.76%	17.05%	15.02%	19.35%	35.33%	30.66%	32.51%	22.58%	24.75%	25.23%	31.61%	28.28%	29.30%	48.01%	43.40%	42.97%	29.33%	29.11%	30.00%	39.73%	37.82%	37.27%	55.91%	52.63%	51.96%	13.70%	18.13%	21.76%	17.05%	15.02%	19.35%	35.33%	30.66%	32.51%	-5.42%	-39.49%	20.11%	-5.27%	-37.88%	17.69%	-8.00%	-36.72%	16.96%	
exp_burn0 + no_burnin + multiview + 7b + beauty				0.0454	0.0597	0.0773	0.0301	0.032	0.0332	0.0339	0.0385	0.0429	0.0454	0.0597	0.0773	0.0091	0.006	0.0039	0.0149	0.0167	0.0187	0.0266	0.0329	0.0406	0.0791	0.106	0.1391	0.0118	0.0124	0.0129	0.0207	0.0227	0.0247	0.0585	0.0671	0.0754	0.0108	0.011	0.0111	0.0187	0.0196	0.0201	0.0517	0.0552	0.0575	0.0149	0.0167	0.0187	0.0266	0.0329	0.0406	0.0791	0.106	0.1391	0.1394	0.1158	0.7448	0.121	0.1153	0.7638	0.1077	0.1169	0.7754	31.21%	27.29%	29.70%	57.59%	54.59%	53.70%	47.39%	43.12%	42.52%	31.21%	27.29%	29.70%	31.88%	27.66%	30.00%	2.05%	-2.34%	-3.11%	3.10%	-1.20%	2.01%	39.02%	34.86%	36.64%	26.88%	22.77%	20.56%	18.97%	14.65%	14.88%	55.17%	50.11%	49.31%	44.00%	39.24%	38.75%	28.08%	25.64%	24.84%	65.18%	61.40%	60.61%	2.05%	-2.34%	-3.11%	3.10%	-1.20%	2.01%	39.02%	34.86%	36.64%	-29.38%	-54.08%	35.39%	-32.21%	-52.78%	32.35%	-34.21%	-51.17%	29.95%	
exp_burn2 + compromise + multiview + 7b + beauty				0.0453	0.0601	0.0774	0.029	0.031	0.0322	0.033	0.0378	0.0422	0.0453	0.0601	0.0774	0.0091	0.006	0.0039	0.0171	0.0205	0.0238	0.0301	0.0388	0.0477	0.0766	0.1029	0.1345	0.0117	0.0128	0.0137	0.0229	0.0257	0.0279	0.0558	0.0642	0.0722	0.0099	0.0104	0.0106	0.0205	0.0216	0.0222	0.0489	0.0523	0.0545	0.0171	0.0205	0.0238	0.0301	0.0388	0.0477	0.0766	0.1029	0.1345	0.2038	0.1555	0.6406	0.1867	0.1541	0.6592	0.168	0.1539	0.678	30.92%	28.14%	29.87%	51.83%	49.76%	49.07%	43.48%	40.52%	40.20%	30.92%	28.14%	29.87%	31.88%	27.66%	30.00%	17.12%	19.88%	23.32%	16.67%	16.52%	19.85%	34.62%	30.92%	32.12%	25.81%	26.73%	28.04%	31.61%	29.80%	29.77%	48.01%	43.62%	42.97%	32.00%	31.65%	32.50%	40.41%	38.46%	37.89%	56.23%	52.92%	52.23%	17.12%	19.88%	23.32%	16.67%	16.52%	19.85%	34.62%	30.92%	32.12%	3.24%	-38.34%	16.45%	4.59%	-36.90%	14.23%	2.63%	-35.71%	13.62%	
exp_A + original + llm + beauty				0.0439	0.0579	0.0743	0.0287	0.0306	0.0317	0.0325	0.037	0.0411	0.0439	0.0579	0.0743	0.0088	0.0058	0.0037	0.0159	0.0198	0.0232	0.0297	0.037	0.0455	0.0743	0.0994	0.1291	0.0118	0.0131	0.0139	0.0227	0.025	0.0271	0.0546	0.0627	0.0702	0.0104	0.0109	0.0112	0.0203	0.0213	0.0219	0.0481	0.0515	0.0535	0.0159	0.0198	0.0232	0.0297	0.037	0.0455	0.0743	0.0994	0.1291	0.2397	0.1558	0.6045	0.2241	0.1545	0.6214	0.2064	0.1541	0.6396	26.88%	23.45%	24.66%	50.26%	47.83%	46.76%	41.30%	37.55%	36.54%	26.88%	23.45%	24.66%	27.54%	23.40%	23.33%	8.90%	15.79%	20.21%	15.12%	11.11%	14.32%	30.58%	26.46%	26.82%	26.88%	29.70%	29.91%	30.46%	26.26%	26.05%	44.83%	40.27%	39.01%	38.67%	37.97%	40.00%	39.04%	36.54%	36.02%	53.67%	50.58%	49.44%	8.90%	15.79%	20.21%	15.12%	11.11%	14.32%	30.58%	26.46%	26.82%	21.43%	-38.22%	9.89%	25.55%	-36.73%	7.68%	26.08%	-35.63%	7.19%	
exp_H + optimal + llm + beauty				0.0445	0.0593	0.0767	0.0289	0.0308	0.032	0.0327	0.0375	0.0419	0.0445	0.0593	0.0767	0.0089	0.0059	0.0038	0.0161	0.0195	0.0231	0.0297	0.0382	0.0474	0.0755	0.102	0.1334	0.0113	0.0124	0.0134	0.0227	0.0254	0.0277	0.0553	0.0639	0.0718	0.0098	0.0102	0.0105	0.0203	0.0214	0.0221	0.0487	0.0522	0.0544	0.0161	0.0195	0.0231	0.0297	0.0382	0.0474	0.0755	0.102	0.1334	0.206	0.1519	0.6422	0.1887	0.1505	0.6609	0.1691	0.1498	0.6811	28.61%	26.44%	28.69%	51.31%	48.79%	48.15%	42.17%	39.41%	39.20%	28.61%	26.44%	28.69%	28.99%	25.53%	26.67%	10.27%	14.04%	19.69%	15.12%	14.71%	19.10%	32.69%	29.77%	31.04%	21.51%	22.77%	25.23%	30.46%	28.28%	28.84%	46.68%	42.95%	42.18%	30.67%	29.11%	31.25%	39.04%	37.18%	37.27%	55.59%	52.63%	51.96%	10.27%	14.04%	19.69%	15.12%	14.71%	19.10%	32.69%	29.77%	31.04%	4.36%	-39.77%	16.74%	5.71%	-38.37%	14.52%	3.30%	-37.43%	14.14%	
 exp_M1 + mv_base + multiview + 7b + beauty				0.0453	0.0601	0.0774	0.029	0.031	0.0322	0.033	0.0378	0.0422	0.0453	0.0601	0.0774	0.0091	0.006	0.0039	0.0171	0.0205	0.0238	0.0301	0.0388	0.0477	0.0766	0.1029	0.1345	0.0117	0.0128	0.0137	0.0229	0.0257	0.0279	0.0558	0.0642	0.0722	0.0099	0.0104	0.0106	0.0205	0.0216	0.0222	0.0489	0.0523	0.0545	0.0171	0.0205	0.0238	0.0301	0.0388	0.0477	0.0766	0.1029	0.1345	0.2038	0.1555	0.6406	0.1867	0.1541	0.6592	0.168	0.1539	0.678	30.92%	28.14%	29.87%	51.83%	49.76%	49.07%	43.48%	40.52%	40.20%	30.92%	28.14%	29.87%	31.88%	27.66%	30.00%	17.12%	19.88%	23.32%	16.67%	16.52%	19.85%	34.62%	30.92%	32.12%	25.81%	26.73%	28.04%	31.61%	29.80%	29.77%	48.01%	43.62%	42.97%	32.00%	31.65%	32.50%	40.41%	38.46%	37.89%	56.23%	52.92%	52.23%	17.12%	19.88%	23.32%	16.67%	16.52%	19.85%	34.62%	30.92%	32.12%	3.24%	-38.34%	16.45%	4.59%	-36.90%	14.23%	2.63%	-35.71%	13.62%	
exp_M2 + mv_cold + multiview + 7b + beauty				0.0457	0.0606	0.0781	0.0291	0.031	0.0323	0.0332	0.038	0.0424	0.0457	0.0606	0.0781	0.0091	0.0061	0.0039	0.0169	0.0202	0.0234	0.0301	0.0386	0.0477	0.0776	0.1043	0.1362	0.0114	0.0124	0.0133	0.0228	0.0255	0.0278	0.0562	0.0648	0.0728	0.0096	0.01	0.0102	0.0204	0.0215	0.0221	0.0492	0.0527	0.0549	0.0169	0.0202	0.0234	0.0301	0.0386	0.0477	0.0776	0.1043	0.1362	0.1884	0.1507	0.6608	0.1716	0.1488	0.6796	0.1528	0.1482	0.699	32.08%	29.21%	31.04%	52.36%	49.76%	49.54%	44.35%	41.26%	40.86%	32.08%	29.21%	31.04%	31.88%	29.79%	30.00%	15.75%	18.13%	21.24%	16.67%	15.92%	19.85%	36.38%	32.70%	33.79%	22.58%	22.77%	24.30%	31.03%	28.79%	29.30%	49.07%	44.97%	44.16%	28.00%	26.58%	27.50%	39.73%	37.82%	37.27%	57.19%	54.09%	53.35%	15.75%	18.13%	21.24%	16.67%	15.92%	19.85%	36.38%	32.70%	33.79%	-4.56%	-40.25%	20.12%	-3.87%	-39.07%	17.76%	-6.66%	-38.10%	17.14%	
exp_M3 + mv_high_align + multiview + 7b + beauty				0.0447	0.0591	0.0757	0.029	0.0309	0.0321	0.0329	0.0375	0.0417	0.0447	0.0591	0.0757	0.0089	0.0059	0.0038	0.017	0.0203	0.0233	0.03	0.0386	0.047	0.0755	0.101	0.1313	0.0124	0.0135	0.0143	0.0229	0.0256	0.0278	0.0552	0.0634	0.0711	0.0109	0.0114	0.0116	0.0206	0.0217	0.0223	0.0485	0.0519	0.054	0.017	0.0203	0.0233	0.03	0.0386	0.047	0.0755	0.101	0.1313	0.2196	0.1627	0.6176	0.2036	0.1616	0.6348	0.1862	0.1614	0.6524	29.19%	26.01%	27.01%	51.83%	49.28%	48.61%	43.04%	39.41%	38.54%	29.19%	26.01%	27.01%	28.99%	25.53%	26.67%	16.44%	18.71%	20.73%	16.28%	15.92%	18.09%	32.69%	28.50%	28.98%	33.33%	33.66%	33.64%	31.61%	29.29%	29.30%	46.42%	41.83%	40.79%	45.33%	44.30%	45.00%	41.10%	39.10%	38.51%	54.95%	51.75%	50.84%	16.44%	18.71%	20.73%	16.28%	15.92%	18.09%	32.69%	28.50%	28.98%	11.25%	-35.49%	12.27%	14.06%	-33.82%	10.00%	13.74%	-32.58%	9.33%	
exp_M4 + mv_aggressive + multiview + 7b + beauty				0.0457	0.0606	0.0781	0.0291	0.031	0.0323	0.0332	0.038	0.0424	0.0457	0.0606	0.0781	0.0091	0.0061	0.0039	0.0169	0.0202	0.0234	0.0301	0.0386	0.0477	0.0776	0.1043	0.1362	0.0114	0.0124	0.0133	0.0228	0.0255	0.0278	0.0562	0.0648	0.0728	0.0096	0.01	0.0102	0.0204	0.0215	0.0221	0.0492	0.0527	0.0549	0.0169	0.0202	0.0234	0.0301	0.0386	0.0477	0.0776	0.1043	0.1362	0.1884	0.1507	0.6608	0.1716	0.1488	0.6796	0.1528	0.1482	0.699	32.08%	29.21%	31.04%	52.36%	49.76%	49.54%	44.35%	41.26%	40.86%	32.08%	29.21%	31.04%	31.88%	29.79%	30.00%	15.75%	18.13%	21.24%	16.67%	15.92%	19.85%	36.38%	32.70%	33.79%	22.58%	22.77%	24.30%	31.03%	28.79%	29.30%	49.07%	44.97%	44.16%	28.00%	26.58%	27.50%	39.73%	37.82%	37.27%	57.19%	54.09%	53.35%	15.75%	18.13%	21.24%	16.67%	15.92%	19.85%	36.38%	32.70%	33.79%	-4.56%	-40.25%	20.12%	-3.87%	-39.07%	17.76%	-6.66%	-38.10%	17.14%	
