	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty	1221	log10	done	0.0379	0.0523	0.0664	0.0186	0.0205	0.0215	0.0234	0.0281	0.0316	0.0379	0.0523	0.0664	0.0076	0.0052	0.0033	0.0162	0.0198	0.0217	0.0275	0.036	0.0423	0.0625	0.088	0.1143	0.0097	0.0109	0.0114	0.0168	0.0196	0.0212	0.0387	0.0469	0.0536	0.0076	0.0081	0.0082	0.0133	0.0144	0.0149	0.0308	0.0342	0.036	0.0162	0.0198	0.0217	0.0275	0.036	0.0423	0.0625	0.088	0.1143	0.2678	0.2583	0.4736	0.25	0.4998	0.2314	0.2446	0.5237																																																												
sasrec + tfidf + no add text weight	beauty		ubuntu	done	0.0409	0.0527	0.0665	0.0278	0.0293	0.0303	0.031	0.0348	0.0383	0.0409	0.0527	0.0665	0.0082	0.0053	0.0033	0.0118	0.0134	0.0146	0.0232	0.0282	0.0329	0.0723	0.0945	0.1211	0.0092	0.0097	0.0101	0.0189	0.0205	0.0217	0.0541	0.0613	0.068	0.0084	0.0086	0.0087	0.0174	0.0181	0.0184	0.0482	0.0511	0.0529	0.0118	0.0134	0.0146	0.0232	0.0282	0.0329	0.0723	0.0945	0.1211	0.1301	0.1218	0.7481	0.1164	0.7618	0.1046	0.1225	0.7729	7.916%	0.765%	0.151%	49.462%	42.927%	40.930%	32.479%	23.843%	21.203%	7.916%	0.765%	0.151%	7.895%	1.923%	0.000%	-27.160%	-32.323%	-32.719%	-15.636%	-21.667%	-22.222%	15.680%	7.386%	5.949%	-5.155%	-11.009%	-11.404%	12.500%	4.592%	2.358%	39.793%	30.704%	26.866%	10.526%	6.173%	6.098%	30.827%	25.694%	23.490%	56.494%	49.415%	46.944%	-27.160%	-32.323%	-32.719%	-15.636%	-21.667%	-22.222%	15.680%	7.386%	5.949%	-51.419%	-52.846%	57.960%	-53.440%	-51.220%	52.421%	-54.797%	-49.918%	47.584%
sasrec + tfidf + llm + no add text weight	beauty				0.0479	0.0638	0.0829	0.0289	0.031	0.0323	0.0336	0.0387	0.0435	0.0479	0.0638	0.0829	0.0096	0.0064	0.0041	0.0163	0.0204	0.0236	0.0301	0.0401	0.0505	0.0824	0.1102	0.1449	0.0114	0.0127	0.0136	0.0224	0.0256	0.0282	0.0572	0.0662	0.075	0.0098	0.0103	0.0106	0.0198	0.0211	0.0219	0.049	0.0526	0.055	0.0163	0.0204	0.0236	0.0301	0.0401	0.0505	0.0824	0.1102	0.1449	0.235	0.1334	0.6315	0.2205	0.6458	0.1999	0.1337	0.6663	26.385%	21.989%	24.849%	55.376%	51.220%	50.233%	43.590%	37.722%	37.658%	26.385%	21.989%	24.849%	26.316%	23.077%	24.242%	0.617%	3.030%	8.756%	9.455%	11.389%	19.385%	31.840%	25.227%	26.772%	17.526%	16.514%	19.298%	33.333%	30.612%	33.019%	47.804%	41.151%	39.925%	28.947%	27.160%	29.268%	48.872%	46.528%	46.980%	59.091%	53.801%	52.778%	0.617%	3.030%	8.756%	9.455%	11.389%	19.385%	31.840%	25.227%	26.772%	-12.248%	-48.355%	33.340%	-11.800%	-46.499%	29.212%	-13.613%	-45.339%	27.229%
sasrec + tfidf + multi-view + 7b + no add text weight	beauty				0.0481	0.065	0.0837	0.0288	0.0311	0.0324	0.0336	0.039	0.0438	0.0481	0.065	0.0837	0.0096	0.0065	0.0042	0.0166	0.021	0.0242	0.0301	0.0404	0.0507	0.0828	0.1124	0.1464	0.0116	0.013	0.0138	0.0223	0.0257	0.0283	0.0572	0.0668	0.0753	0.0099	0.0105	0.0107	0.0198	0.0212	0.0219	0.0488	0.0527	0.0551	0.0166	0.021	0.0242	0.0301	0.0404	0.0507	0.0828	0.1124	0.1464	0.19	0.1426	0.6673	0.1772	0.6818	0.1592	0.1409	0.6999	26.913%	24.283%	26.054%	54.839%	51.707%	50.698%	43.590%	38.790%	38.608%	26.913%	24.283%	26.054%	26.316%	25.000%	27.273%	2.469%	6.061%	11.521%	9.455%	12.222%	19.858%	32.480%	27.727%	28.084%	19.588%	19.266%	21.053%	32.738%	31.122%	33.491%	47.804%	42.431%	40.485%	30.263%	29.630%	30.488%	48.872%	47.222%	46.980%	58.442%	54.094%	53.056%	2.469%	6.061%	11.521%	9.455%	12.222%	19.858%	32.480%	27.727%	28.084%	-29.052%	-44.793%	40.899%	-29.120%	-43.577%	36.415%	-31.201%	-42.396%	33.645%
sasrec + tfidf + multi-view + 14b + no add text weight					0.0476	0.064	0.0831	0.0287	0.0309	0.0322	0.0334	0.0387	0.0435	0.0476	0.064	0.0831	0.0095	0.0064	0.0042	0.0161	0.0204	0.0239	0.0304	0.0399	0.0509	0.0817	0.1107	0.145	0.0112	0.0126	0.0135	0.0224	0.0255	0.0283	0.0569	0.0662	0.0748	0.0096	0.0101	0.0104	0.0198	0.0211	0.0218	0.0486	0.0525	0.0548	0.0161	0.0204	0.0239	0.0304	0.0399	0.0509	0.0817	0.1107	0.145	0.2023	0.1315	0.6661	0.1893	0.6794	0.1705	0.1317	0.6978	25.594%	22.371%	25.151%	54.301%	50.732%	49.767%	42.735%	37.722%	37.658%	25.594%	22.371%	25.151%	25.000%	23.077%	27.273%	-0.617%	3.030%	10.138%	10.545%	10.833%	20.331%	30.720%	25.795%	26.859%	15.464%	15.596%	18.421%	33.333%	30.102%	33.491%	47.028%	41.151%	39.552%	26.316%	24.691%	26.829%	48.872%	46.528%	46.309%	57.792%	53.509%	52.222%	-0.617%	3.030%	10.138%	10.545%	10.833%	20.331%	30.720%	25.795%	26.859%	-24.459%	-49.090%	40.646%	-24.280%	-47.459%	35.934%	-26.318%	-46.157%	33.244%
sasrec + tfidf + multi-view + 32B  + + no add text weight	beauty		ubuntu	done	0.048	0.0643	0.0833	0.029	0.0312	0.0325	0.0337	0.039	0.0438	0.048	0.0643	0.0833	0.0096	0.0064	0.0042	0.0173	0.021	0.0241	0.0298	0.0403	0.0519	0.0825	0.1111	0.145	0.012	0.0132	0.014	0.0224	0.0257	0.0287	0.0574	0.0666	0.0751	0.0102	0.0107	0.011	0.0199	0.0213	0.0221	0.0491	0.0529	0.0552	0.0173	0.021	0.0241	0.0298	0.0403	0.0519	0.0825	0.1111	0.145	0.21	0.1368	0.6532	0.1964	0.6676	0.1773	0.1361	0.6865	26.649%	22.945%	25.452%	55.914%	52.195%	51.163%	44.017%	38.790%	38.608%	26.649%	22.945%	25.452%	26.316%	23.077%	27.273%	6.790%	6.061%	11.060%	8.364%	11.944%	22.695%	32.000%	26.250%	26.859%	23.711%	21.101%	22.807%	33.333%	31.122%	35.377%	48.320%	42.004%	40.112%	34.211%	32.099%	34.146%	49.624%	47.917%	48.322%	59.416%	54.678%	53.333%	6.790%	6.061%	11.060%	8.364%	11.944%	22.695%	32.000%	26.250%	26.859%	-21.583%	-47.038%	37.922%	-21.440%	-45.578%	33.573%	-23.379%	-44.358%	31.086%
																																																																																																																											
																																																																																																																											
sasrec + 50ep	toy	1227	log10	done	0.0504	0.0665	0.0823	0.022	0.0241	0.0252	0.0291	0.0343	0.0383	0.0504	0.0665	0.0823	0.0101	0.0066	0.0041	0.0161	0.0194	0.0223	0.0364	0.0483	0.0584	0.0911	0.1207	0.1506	0.0089	0.01	0.0108	0.0208	0.0246	0.0272	0.0528	0.0623	0.0699	0.0066	0.007	0.0072	0.0156	0.0172	0.0179	0.04	0.044	0.046	0.0161	0.0194	0.0223	0.0364	0.0483	0.0584	0.0911	0.1207	0.1506	0.1537	0.2016	0.6437	0.1373	0.6779	0.125	0.1743	0.7001																																																												
sasrec + tfidf + no add text weight	toy	1227		done	0.0551	0.0729	0.092	0.0341	0.0365	0.0378	0.0393	0.0451	0.0499	0.0551	0.0729	0.092	0.011	0.0073	0.0046	0.0176	0.0219	0.0266	0.0401	0.0543	0.0712	0.0993	0.1313	0.1646	0.0128	0.0142	0.0154	0.0296	0.0341	0.0384	0.0703	0.0806	0.089	0.0112	0.0118	0.0121	0.0261	0.028	0.0291	0.0607	0.065	0.0673	0.0176	0.0219	0.0266	0.0401	0.0543	0.0712	0.0993	0.1313	0.1646	0.2598	0.166	0.5741	0.2471	0.5893	0.2318	0.1634	0.6048	9.33%	9.62%	11.79%	55.00%	51.45%	50.00%	35.05%	31.49%	30.29%	9.33%	9.62%	11.79%	8.91%	10.61%	12.20%	9.32%	12.89%	19.28%	10.16%	12.42%	21.92%	9.00%	8.78%	9.30%	43.82%	42.00%	42.59%	42.31%	38.62%	41.18%	33.14%	29.37%	27.32%	69.70%	68.57%	68.06%	67.31%	62.79%	62.57%	51.75%	47.73%	46.30%	9.32%	12.89%	19.28%	10.16%	12.42%	21.92%	9.00%	8.78%	9.30%	69.03%	-17.66%	-10.81%	79.97%	-11.14%	-13.07%	85.44%	-6.25%	-13.61%
