	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
base50ep	beauty		done	0.0346	0.0469	0.0596	0.0191	0.0207	0.0216	0.023	0.0269	0.0301	0.0346	0.0469	0.0596	0.0069	0.0047	0.003	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.0093	0.0101	0.0107	0.0174	0.0198	0.0215	0.0377	0.0447	0.0505	0.0075	0.0079	0.008	0.0146	0.0156	0.0161	0.0313	0.0342	0.0358	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.1974	0.2522	0.5501	0.1785	0.2442	0.5771	0.1637	0.2394	0.5967																																																												
tfidf	beauty		done	0.0453	0.0598	0.0772	0.0293	0.0312	0.0324	0.0333	0.0379	0.0423	0.0453	0.0598	0.0772	0.0091	0.006	0.0039	0.0175	0.0208	0.0242	0.0294	0.0378	0.0476	0.077	0.1027	0.134	0.0125	0.0136	0.0144	0.0225	0.0253	0.0277	0.0561	0.0644	0.0723	0.0108	0.0113	0.0115	0.0203	0.0214	0.0221	0.0493	0.0527	0.0548	0.0175	0.0208	0.0242	0.0294	0.0378	0.0476	0.077	0.1027	0.134	0.2042	0.1513	0.6445	0.1829	0.15	0.6671	0.1597	0.1498	0.6905	30.92%	27.51%	29.53%	53.40%	50.72%	50.00%	44.78%	40.89%	40.53%	30.92%	27.51%	29.53%	31.88%	27.66%	30.00%	19.86%	21.64%	25.39%	13.95%	13.51%	19.60%	35.33%	30.66%	31.63%	34.41%	34.65%	34.58%	29.31%	27.78%	28.84%	48.81%	44.07%	43.17%	44.00%	43.04%	43.75%	39.04%	37.18%	37.27%	57.51%	54.09%	53.07%	19.86%	21.64%	25.39%	13.95%	13.51%	19.60%	35.33%	30.66%	31.63%	3.44%	-40.01%	17.16%	2.46%	-38.57%	15.60%	-2.44%	-37.43%	15.72%
tfidf + llm	beauty		done	0.0452	0.06	0.0777	0.0293	0.0313	0.0325	0.0333	0.038	0.0425	0.0452	0.06	0.0777	0.009	0.006	0.0039	0.0173	0.0203	0.0235	0.0296	0.0384	0.0488	0.0766	0.1029	0.1347	0.0123	0.0132	0.0141	0.0229	0.0257	0.0284	0.056	0.0645	0.0725	0.0106	0.011	0.0112	0.0207	0.0218	0.0226	0.0492	0.0527	0.0549	0.0173	0.0203	0.0235	0.0296	0.0384	0.0488	0.0766	0.1029	0.1347	0.2069	0.1518	0.6413	0.1875	0.1508	0.6617	0.1661	0.1506	0.6832	30.64%	27.93%	30.37%	53.40%	51.21%	50.46%	44.78%	41.26%	41.20%	30.64%	27.93%	30.37%	30.43%	27.66%	30.00%	18.49%	18.71%	21.76%	14.73%	15.32%	22.61%	34.62%	30.92%	32.32%	32.26%	30.69%	31.78%	31.61%	29.80%	32.09%	48.54%	44.30%	43.56%	41.33%	39.24%	40.00%	41.78%	39.74%	40.37%	57.19%	54.09%	53.35%	18.49%	18.71%	21.76%	14.73%	15.32%	22.61%	34.62%	30.92%	32.32%	4.81%	-39.81%	16.58%	5.04%	-38.25%	14.66%	1.47%	-37.09%	14.50%
tfidf + multi-view + 7b	beauty		done	0.0455	0.0605	0.0784	0.0294	0.0314	0.0326	0.0334	0.0382	0.0427	0.0455	0.0605	0.0784	0.0091	0.006	0.0039	0.0176	0.0209	0.024	0.0299	0.0385	0.048	0.077	0.1037	0.1364	0.0123	0.0133	0.0141	0.0228	0.0256	0.028	0.0563	0.0649	0.0732	0.0105	0.0109	0.0111	0.0205	0.0216	0.0223	0.0495	0.053	0.0553	0.0176	0.0209	0.024	0.0299	0.0385	0.048	0.077	0.1037	0.1364	0.189	0.147	0.664	0.1711	0.1447	0.6841	0.1515	0.1443	0.7042	31.50%	29.00%	31.54%	53.93%	51.69%	50.93%	45.22%	42.01%	41.86%	31.50%	29.00%	31.54%	31.88%	27.66%	30.00%	20.55%	22.22%	24.35%	15.89%	15.62%	20.60%	35.33%	31.93%	33.99%	32.26%	31.68%	31.78%	31.03%	29.29%	30.23%	49.34%	45.19%	44.95%	40.00%	37.97%	38.75%	40.41%	38.46%	38.51%	58.15%	54.97%	54.47%	20.55%	22.22%	24.35%	15.89%	15.62%	20.60%	35.33%	31.93%	33.99%	-4.26%	-41.71%	20.71%	-4.15%	-40.75%	18.54%	-7.45%	-39.72%	18.02%
tfidf + multi-view + 14b	beauty		done	0.0467	0.0622	0.0808	0.0293	0.0313	0.0326	0.0336	0.0386	0.0433	0.0467	0.0622	0.0808	0.0093	0.0062	0.004	0.0187	0.0227	0.0259	0.0312	0.0405	0.0514	0.0786	0.106	0.1393	0.0127	0.0139	0.0148	0.0236	0.0266	0.0293	0.0562	0.0651	0.0734	0.0107	0.0112	0.0114	0.0211	0.0223	0.023	0.0489	0.0525	0.0548	0.0187	0.0227	0.0259	0.0312	0.0405	0.0514	0.0786	0.106	0.1393	0.2039	0.1555	0.6406	0.1842	0.1552	0.6606	0.1624	0.1556	0.6819	34.97%	32.62%	35.57%	53.40%	51.21%	50.93%	46.09%	43.49%	43.85%	34.97%	32.62%	35.57%	34.78%	31.91%	33.33%	28.08%	32.75%	34.20%	20.93%	21.62%	29.15%	38.14%	34.86%	36.84%	36.56%	37.62%	38.32%	35.63%	34.34%	36.28%	49.07%	45.64%	45.35%	42.67%	41.77%	42.50%	44.52%	42.95%	42.86%	56.23%	53.51%	53.07%	28.08%	32.75%	34.20%	20.93%	21.62%	29.15%	38.14%	34.86%	36.84%	3.29%	-38.34%	16.45%	3.19%	-36.45%	14.47%	-0.79%	-35.00%	14.28%
																																																																																																																											
tfidf + multi-view + 14b + phaseb tmp adjust	beauty		doing																																																																																																																								
tfidf + multi-view + 32b	beauty		done	0.0454	0.0605	0.0785	0.0292	0.0312	0.0324	0.0332	0.0381	0.0426	0.0454	0.0605	0.0785	0.0091	0.0061	0.0039	0.0171	0.0208	0.0242	0.0295	0.0383	0.0488	0.0772	0.104	0.1363	0.0122	0.0134	0.0143	0.0225	0.0253	0.0279	0.0561	0.0647	0.0728	0.0105	0.011	0.0113	0.0202	0.0213	0.022	0.0492	0.0527	0.0549	0.0171	0.0208	0.0242	0.0295	0.0383	0.0488	0.0772	0.104	0.1363	0.1954	0.1483	0.6564	0.1768	0.1465	0.6767	0.1569	0.1463	0.6968	31.21%	29.00%	31.71%	52.88%	50.72%	50.00%	44.35%	41.64%	41.53%	31.21%	29.00%	31.71%	31.88%	29.79%	30.00%	17.12%	21.64%	25.39%	14.34%	15.02%	22.61%	35.68%	32.32%	33.89%	31.18%	32.67%	33.64%	29.31%	27.78%	29.77%	48.81%	44.74%	44.16%	40.00%	39.24%	41.25%	38.36%	36.54%	36.65%	57.19%	54.09%	53.35%	17.12%	21.64%	25.39%	14.34%	15.02%	22.61%	35.68%	32.32%	33.89%	-1.01%	-41.20%	19.32%	-0.95%	-40.01%	17.26%	-4.15%	-38.89%	16.78%
tfidf + multi-view + 32b + phaseb tmp adjust	beauty		doing																																																																																																																								
																																																																																																																											
																																																																																																																											
base50ep	toy		done	0.046	0.0597	0.0726	0.0231	0.0249	0.0258	0.0288	0.0332	0.0365	0.046	0.0597	0.0726	0.0092	0.006	0.0036	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.01	0.011	0.0116	0.022	0.0253	0.0276	0.051	0.0592	0.0653	0.008	0.0084	0.0086	0.0173	0.0187	0.0193	0.0411	0.0445	0.0461	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.2083	0.2435	0.5476	0.1905	0.232	0.5771	0.1763	0.2252	0.5983																																																												
tfidf	toy		done	0.0526	0.0686	0.0865	0.0345	0.0366	0.0379	0.039	0.0442	0.0487	0.0526	0.0686	0.0865	0.0105	0.0069	0.0043	0.0186	0.0224	0.0275	0.0416	0.0546	0.0687	0.0924	0.1211	0.153	0.0139	0.0152	0.0164	0.0312	0.0354	0.039	0.0682	0.0775	0.0855	0.0123	0.0128	0.0132	0.0278	0.0295	0.0305	0.0603	0.0641	0.0663	0.0186	0.0224	0.0275	0.0416	0.0546	0.0687	0.0924	0.1211	0.153	0.2673	0.1923	0.5404	0.2501	0.1916	0.5583	0.2312	0.1925	0.5763	14.35%	14.91%	19.15%	49.35%	46.99%	46.90%	35.42%	33.13%	33.42%	14.35%	14.91%	19.15%	14.13%	15.00%	19.44%	15.53%	17.28%	29.11%	15.24%	18.44%	24.46%	14.07%	14.14%	17.42%	39.00%	38.18%	41.38%	41.82%	39.92%	41.30%	33.73%	30.91%	30.93%	53.75%	52.38%	53.49%	60.69%	57.75%	58.03%	46.72%	44.04%	43.82%	15.53%	17.28%	29.11%	15.24%	18.44%	24.46%	14.07%	14.14%	17.42%	28.32%	-21.03%	-1.31%	31.29%	-17.41%	-3.26%	31.14%	-14.52%	-3.68%
tfidf + llm	toy		done	0.0527	0.0683	0.0865	0.0343	0.0364	0.0376	0.0388	0.0439	0.0485	0.0527	0.0683	0.0865	0.0105	0.0068	0.0043	0.0185	0.0226	0.0273	0.041	0.0531	0.0678	0.093	0.121	0.1535	0.0137	0.0151	0.0162	0.0307	0.0346	0.0384	0.0682	0.0773	0.0855	0.0121	0.0127	0.013	0.0274	0.029	0.03	0.0601	0.0638	0.066	0.0185	0.0226	0.0273	0.041	0.0531	0.0678	0.093	0.121	0.1535	0.2582	0.1866	0.5552	0.2407	0.1858	0.5735	0.2214	0.1866	0.5919	14.57%	14.41%	19.15%	48.48%	46.18%	45.74%	34.72%	32.23%	32.88%	14.57%	14.41%	19.15%	14.13%	13.33%	19.44%	14.91%	18.32%	28.17%	13.57%	15.18%	22.83%	14.81%	14.04%	17.81%	37.00%	37.27%	39.66%	39.55%	36.76%	39.13%	33.73%	30.57%	30.93%	51.25%	51.19%	51.16%	58.38%	55.08%	55.44%	46.23%	43.37%	43.17%	14.91%	18.32%	28.17%	13.57%	15.18%	22.83%	14.81%	14.04%	17.81%	23.96%	-23.37%	1.39%	26.35%	-19.91%	-0.62%	25.58%	-17.14%	-1.07%
tfidf + multi-view + 7b	toy		done	0.053	0.069	0.0876	0.0346	0.0367	0.038	0.0391	0.0443	0.049	0.053	0.069	0.0876	0.0106	0.0069	0.0044	0.0188	0.023	0.0288	0.0413	0.054	0.0688	0.0935	0.1221	0.1549	0.014	0.0153	0.0168	0.0311	0.0351	0.0389	0.0686	0.0779	0.0862	0.0124	0.0129	0.0133	0.0277	0.0293	0.0304	0.0605	0.0643	0.0666	0.0188	0.023	0.0288	0.0413	0.054	0.0688	0.0935	0.1221	0.1549	0.2509	0.1886	0.5605	0.2347	0.1886	0.5766	0.218	0.1899	0.592	15.22%	15.58%	20.66%	49.78%	47.39%	47.29%	35.76%	33.43%	34.25%	15.22%	15.58%	20.66%	15.22%	15.00%	22.22%	16.77%	20.42%	35.21%	14.40%	17.14%	24.64%	15.43%	15.08%	18.88%	40.00%	39.09%	44.83%	41.36%	38.74%	40.94%	34.51%	31.59%	32.01%	55.00%	53.57%	54.65%	60.12%	56.68%	57.51%	47.20%	44.49%	44.47%	16.77%	20.42%	35.21%	14.40%	17.14%	24.64%	15.43%	15.08%	18.88%	20.45%	-22.55%	2.36%	23.20%	-18.71%	-0.09%	23.65%	-15.67%	-1.05%
tfidf + multi-view + 14b	toy		done	0.0529	0.0695	0.0877	0.0344	0.0366	0.0379	0.039	0.0443	0.0489	0.0529	0.0695	0.0877	0.0106	0.0069	0.0044	0.0188	0.0233	0.0292	0.0415	0.0547	0.0702	0.0931	0.1226	0.1542	0.0138	0.0152	0.0167	0.0314	0.0356	0.0395	0.0682	0.0778	0.0857	0.0121	0.0127	0.0131	0.028	0.0297	0.0308	0.06	0.064	0.0662	0.0188	0.0233	0.0292	0.0415	0.0547	0.0702	0.0931	0.1226	0.1542	0.257	0.1909	0.5521	0.2404	0.1908	0.5687	0.2232	0.1927	0.5841	15.00%	16.42%	20.80%	48.92%	46.99%	46.90%	35.42%	33.43%	33.97%	15.00%	16.42%	20.80%	15.22%	15.00%	22.22%	16.77%	21.99%	37.09%	14.96%	18.66%	27.17%	14.94%	15.55%	18.34%	38.00%	38.18%	43.97%	42.73%	40.71%	43.12%	33.73%	31.42%	31.24%	51.25%	51.19%	52.33%	61.85%	58.82%	59.59%	45.99%	43.82%	43.60%	16.77%	21.99%	37.09%	14.96%	18.66%	27.17%	14.94%	15.55%	18.34%	23.38%	-21.60%	0.82%	26.19%	-17.76%	-1.46%	26.60%	-14.43%	-2.37%
																																																																																																																											
tfidf + multi-view + 32b	toy		done	0.0537	0.0702	0.089	0.0346	0.0368	0.0381	0.0393	0.0447	0.0494	0.0537	0.0702	0.089	0.0107	0.007	0.0045	0.0193	0.0237	0.0291	0.0422	0.0555	0.071	0.0943	0.1238	0.1569	0.0142	0.0156	0.017	0.0317	0.036	0.0399	0.0686	0.0781	0.0865	0.0125	0.0131	0.0134	0.0283	0.03	0.0311	0.0602	0.0641	0.0664	0.0193	0.0237	0.0291	0.0422	0.0555	0.071	0.0943	0.1238	0.1569	0.2453	0.187	0.5677	0.2285	0.1872	0.5843	0.2114	0.1886	0.6	16.74%	17.59%	22.59%	49.78%	47.79%	47.67%	36.46%	34.64%	35.34%	16.74%	17.59%	22.59%	16.30%	16.67%	25.00%	19.88%	24.08%	36.62%	16.90%	20.39%	28.62%	16.42%	16.68%	20.41%	42.00%	41.82%	46.55%	44.09%	42.29%	44.57%	34.51%	31.93%	32.47%	56.25%	55.95%	55.81%	63.58%	60.43%	61.14%	46.47%	44.04%	44.03%	19.88%	24.08%	36.62%	16.90%	20.39%	28.62%	16.42%	16.68%	20.41%	17.76%	-23.20%	3.67%	19.95%	-19.31%	1.25%	19.91%	-16.25%	0.28%
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
																																																																																																																											
ablation																																																																																																																											
multi-view + 7b	beauty		done	0.0455	0.0605	0.0784	0.0294	0.0314	0.0326	0.0334	0.0382	0.0427	0.0455	0.0605	0.0784	0.0091	0.006	0.0039	0.0176	0.0209	0.024	0.0299	0.0385	0.048	0.077	0.1037	0.1364	0.0123	0.0133	0.0141	0.0228	0.0256	0.028	0.0563	0.0649	0.0732	0.0105	0.0109	0.0111	0.0205	0.0216	0.0223	0.0495	0.053	0.0553	0.0176	0.0209	0.024	0.0299	0.0385	0.048	0.077	0.1037	0.1364	0.189	0.147	0.664	0.1711	0.1447	0.6841	0.1515	0.1443	0.7042																																																												
multi-view + 7b + nosenet 	beauty		done	0.0456	0.0611	0.0794	0.029	0.0311	0.0324	0.0331	0.0382	0.0428	0.0456	0.0611	0.0794	0.0091	0.0061	0.004	0.0176	0.0216	0.0254	0.03	0.0393	0.0494	0.0771	0.1046	0.1374	0.0124	0.0137	0.0146	0.0227	0.0257	0.0282	0.0558	0.0647	0.0729	0.0107	0.0112	0.0115	0.0203	0.0215	0.0222	0.0488	0.0524	0.0547	0.0176	0.0216	0.0254	0.03	0.0393	0.0494	0.0771	0.1046	0.1374	0.2	0.1548	0.6452	0.1825	0.1542	0.6632	0.1631	0.1545	0.6823	0.22%	0.99%	1.28%	-1.36%	-0.96%	-0.61%	-0.90%	0.00%	0.23%	0.22%	0.99%	1.28%	0.00%	1.67%	2.56%	0.00%	3.35%	5.83%	0.33%	2.08%	2.92%	0.13%	0.87%	0.73%	0.81%	3.01%	3.55%	-0.44%	0.39%	0.71%	-0.89%	-0.31%	-0.41%	1.90%	2.75%	3.60%	-0.98%	-0.46%	-0.45%	-1.41%	-1.13%	-1.08%	0.00%	3.35%	5.83%	0.33%	2.08%	2.92%	0.13%	0.87%	0.73%	5.82%	5.31%	-2.83%	6.66%	6.57%	-3.06%	7.66%	7.07%	-3.11%
multi-view + 7b + nocross	beauty		done	0.0471	0.0656	0.0863	0.025	0.0274	0.0288	0.0305	0.0364	0.0416	0.0471	0.0656	0.0863	0.0094	0.0066	0.0043	0.0173	0.024	0.0287	0.0315	0.0431	0.0565	0.0797	0.1115	0.1476	0.0103	0.0125	0.0137	0.0203	0.024	0.0273	0.0519	0.0622	0.0713	0.0079	0.0089	0.0092	0.0165	0.018	0.019	0.0428	0.047	0.0495	0.0173	0.024	0.0287	0.0315	0.0431	0.0565	0.0797	0.1115	0.1476	0.195	0.1496	0.6538	0.1812	0.143	0.6744	0.1622	0.1414	0.6951	3.52%	8.43%	10.08%	-14.97%	-12.74%	-11.66%	-8.68%	-4.71%	-2.58%	3.52%	8.43%	10.08%	3.30%	10.00%	10.26%	-1.70%	14.83%	19.58%	5.35%	11.95%	17.71%	3.51%	7.52%	8.21%	-16.26%	-6.02%	-2.84%	-10.96%	-6.25%	-2.50%	-7.82%	-4.16%	-2.60%	-24.76%	-18.35%	-17.12%	-19.51%	-16.67%	-14.80%	-13.54%	-11.32%	-10.49%	-1.70%	14.83%	19.58%	5.35%	11.95%	17.71%	3.51%	7.52%	8.21%	3.17%	1.77%	-1.54%	5.90%	-1.17%	-1.42%	7.06%	-2.01%	-1.29%
multi-view + 7b + nosenet + nocross	beauty		done	0.0472	0.0657	0.0861	0.0248	0.0273	0.0287	0.0304	0.0363	0.0415	0.0472	0.0657	0.0861	0.0094	0.0066	0.0043	0.0172	0.0242	0.0287	0.0315	0.043	0.0565	0.0799	0.1116	0.1474	0.0103	0.0126	0.0137	0.0203	0.024	0.0274	0.0517	0.0619	0.0709	0.008	0.009	0.0093	0.0166	0.0181	0.0191	0.0424	0.0466	0.049	0.0172	0.0242	0.0287	0.0315	0.043	0.0565	0.0799	0.1116	0.1474	0.1939	0.149	0.6555	0.1797	0.1424	0.6765	0.161	0.1406	0.6972	3.74%	8.60%	9.82%	-15.65%	-13.06%	-11.96%	-8.98%	-4.97%	-2.81%	3.74%	8.60%	9.82%	3.30%	10.00%	10.26%	-2.27%	15.79%	19.58%	5.35%	11.69%	17.71%	3.77%	7.62%	8.06%	-16.26%	-5.26%	-2.84%	-10.96%	-6.25%	-2.14%	-8.17%	-4.62%	-3.14%	-23.81%	-17.43%	-16.22%	-19.02%	-16.20%	-14.35%	-14.34%	-12.08%	-11.39%	-2.27%	15.79%	19.58%	5.35%	11.69%	17.71%	3.77%	7.62%	8.06%	2.59%	1.36%	-1.28%	5.03%	-1.59%	-1.11%	6.27%	-2.56%	-0.99%
																																																																																																																											
multi-view + 7b	toy		done	0.053	0.069	0.0876	0.0346	0.0367	0.038	0.0391	0.0443	0.049	0.053	0.069	0.0876	0.0106	0.0069	0.0044	0.0188	0.023	0.0288	0.0413	0.054	0.0688	0.0935	0.1221	0.1549	0.014	0.0153	0.0168	0.0311	0.0351	0.0389	0.0686	0.0779	0.0862	0.0124	0.0129	0.0133	0.0277	0.0293	0.0304	0.0605	0.0643	0.0666	0.0188	0.023	0.0288	0.0413	0.054	0.0688	0.0935	0.1221	0.1549	0.2509	0.1886	0.5605	0.2347	0.1886	0.5766	0.218	0.1899	0.592																																																												
multi-view + 7b + nosenet 	toy		done	0.0534	0.0695	0.088	0.0348	0.0369	0.0382	0.0394	0.0446	0.0493	0.0534	0.0695	0.088	0.0107	0.007	0.0044	0.0188	0.023	0.0286	0.0421	0.0538	0.0693	0.0939	0.1233	0.1556	0.0138	0.0152	0.0166	0.0315	0.0353	0.0392	0.0691	0.0786	0.0867	0.0121	0.0127	0.0131	0.028	0.0295	0.0306	0.0609	0.0648	0.0671	0.0188	0.023	0.0286	0.0421	0.0538	0.0693	0.0939	0.1233	0.1556	0.2473	0.187	0.5657	0.231	0.1866	0.5824	0.2143	0.1875	0.5982	0.75%	0.72%	0.46%	0.58%	0.54%	0.53%	0.77%	0.68%	0.61%	0.75%	0.72%	0.46%	0.94%	1.45%	0.00%	0.00%	0.00%	-0.69%	1.94%	-0.37%	0.73%	0.43%	0.98%	0.45%	-1.43%	-0.65%	-1.19%	1.29%	0.57%	0.77%	0.73%	0.90%	0.58%	-2.42%	-1.55%	-1.50%	1.08%	0.68%	0.66%	0.66%	0.78%	0.75%	0.00%	0.00%	-0.69%	1.94%	-0.37%	0.73%	0.43%	0.98%	0.45%	-1.43%	-0.85%	0.93%	-1.58%	-1.06%	1.01%	-1.70%	-1.26%	1.05%
