	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
base50ep	beauty		done	0.0346	0.0469	0.0596	0.0191	0.0207	0.0216	0.023	0.0269	0.0301	0.0346	0.0469	0.0596	0.0069	0.0047	0.003	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.0093	0.0101	0.0107	0.0174	0.0198	0.0215	0.0377	0.0447	0.0505	0.0075	0.0079	0.008	0.0146	0.0156	0.0161	0.0313	0.0342	0.0358	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.1974	0.2522	0.5501	0.1785	0.2442	0.5771	0.1637	0.2394	0.5967																																																													
tfidf	beauty		doing	0.0449	0.0593	0.0764	0.029	0.0309	0.0321	0.0329	0.0375	0.0419	0.0449	0.0593	0.0764	0.009	0.0059	0.0038	0.0174	0.021	0.0239	0.0298	0.0374	0.0476	0.076	0.1016	0.1323	0.0123	0.0135	0.0142	0.0229	0.0253	0.0279	0.0553	0.0636	0.0713	0.0107	0.0111	0.0114	0.0206	0.0216	0.0223	0.0485	0.0519	0.054	0.0174	0.021	0.0239	0.0298	0.0374	0.0476	0.076	0.1016	0.1323	0.2129	0.1499	0.6372	0.1925	0.1489	0.6586	0.1698	0.1487	0.6815	29.77%	26.44%	28.19%	51.83%	49.28%	48.61%	43.04%	39.41%	39.20%	29.77%	26.44%	28.19%	30.43%	25.53%	26.67%	19.18%	22.81%	23.83%	15.50%	12.31%	19.60%	33.57%	29.26%	29.96%	32.26%	33.66%	32.71%	31.61%	27.78%	29.77%	46.68%	42.28%	41.19%	42.67%	40.51%	42.50%	41.10%	38.46%	38.51%	54.95%	51.75%	50.84%	19.18%	22.81%	23.83%	15.50%	12.31%	19.60%	33.57%	29.26%	29.96%	7.85%	-40.56%	15.83%	7.84%	-39.03%	14.12%	3.73%	-37.89%	14.21%	
tfidf + llm	beauty		doing	0.0452	0.0594	0.0769	0.0293	0.0312	0.0324	0.0332	0.0378	0.0422	0.0452	0.0594	0.0769	0.009	0.0059	0.0038	0.0172	0.0207	0.024	0.0297	0.0382	0.0483	0.0767	0.1017	0.1331	0.0123	0.0135	0.0143	0.0229	0.0256	0.0281	0.056	0.0641	0.072	0.0107	0.0112	0.0114	0.0206	0.0217	0.0224	0.0492	0.0525	0.0546	0.0172	0.0207	0.024	0.0297	0.0382	0.0483	0.0767	0.1017	0.1331	0.2107	0.1502	0.6391	0.1906	0.149	0.6604	0.1684	0.1492	0.6825	30.64%	26.65%	29.03%	53.40%	50.72%	50.00%	44.35%	40.52%	40.20%	30.64%	26.65%	29.03%	30.43%	25.53%	26.67%	17.81%	21.05%	24.35%	15.12%	14.71%	21.36%	34.80%	29.39%	30.75%	32.26%	33.66%	33.64%	31.61%	29.29%	30.70%	48.54%	43.40%	42.57%	42.67%	41.77%	42.50%	41.10%	39.10%	39.13%	57.19%	53.51%	52.51%	17.81%	21.05%	24.35%	15.12%	14.71%	21.36%	34.80%	29.39%	30.75%	6.74%	-40.44%	16.18%	6.78%	-38.98%	14.43%	2.87%	-37.68%	14.38%	
tfidf + multi-view + 7b	beauty		doing																																																																																																																									
tfidf + multi-view + 14b	beauty		doing	0.0456	0.0602	0.0782	0.0291	0.0311	0.0323	0.0332	0.0379	0.0424	0.0456	0.0602	0.0782	0.0091	0.006	0.0039	0.0181	0.0211	0.0243	0.0302	0.0395	0.0497	0.0769	0.1027	0.135	0.0128	0.0138	0.0146	0.0231	0.0261	0.0286	0.0556	0.064	0.0721	0.0111	0.0115	0.0117	0.0207	0.0219	0.0226	0.0486	0.0521	0.0543	0.0181	0.0211	0.0243	0.0302	0.0395	0.0497	0.0769	0.1027	0.135	0.2077	0.1527	0.6397	0.1882	0.152	0.6597	0.1669	0.1517	0.6814	31.79%	28.36%	31.21%	52.36%	50.24%	49.54%	44.35%	40.89%	40.86%	31.79%	28.36%	31.21%	31.88%	27.66%	30.00%	23.97%	23.39%	25.91%	17.05%	18.62%	24.87%	35.15%	30.66%	32.61%	37.63%	36.63%	36.45%	32.76%	31.82%	33.02%	47.48%	43.18%	42.77%	48.00%	45.57%	46.25%	41.78%	40.38%	40.37%	55.27%	52.34%	51.68%	23.97%	23.39%	25.91%	17.05%	18.62%	24.87%	35.15%	30.66%	32.61%	5.22%	-39.45%	16.29%	5.43%	-37.76%	14.31%	1.95%	-36.63%	14.19%	
tfidf + multi-view + 32b	beauty		doing	0.0455	0.0601	0.0773	0.0293	0.0312	0.0324	0.0333	0.038	0.0423	0.0455	0.0601	0.0773	0.0091	0.006	0.0039	0.0175	0.0211	0.024	0.0302	0.0384	0.0478	0.077	0.103	0.1341	0.0125	0.0137	0.0144	0.0229	0.0256	0.028	0.056	0.0644	0.0723	0.0109	0.0114	0.0116	0.0206	0.0216	0.0223	0.0492	0.0526	0.0547	0.0175	0.0211	0.024	0.0302	0.0384	0.0478	0.077	0.103	0.1341	0.2012	0.1505	0.6483	0.182	0.1492	0.6688	0.1611	0.149	0.6899	31.50%	28.14%	29.70%	53.40%	50.72%	50.00%	44.78%	41.26%	40.53%	31.50%	28.14%	29.70%	31.88%	27.66%	30.00%	19.86%	23.39%	24.35%	17.05%	15.32%	20.10%	35.33%	31.04%	31.73%	34.41%	35.64%	34.58%	31.61%	29.29%	30.23%	48.54%	44.07%	43.17%	45.33%	44.30%	45.00%	41.10%	38.46%	38.51%	57.19%	53.80%	52.79%	19.86%	23.39%	24.35%	17.05%	15.32%	20.10%	35.33%	31.04%	31.73%	1.93%	-40.33%	17.85%	1.96%	-38.90%	15.89%	-1.59%	-37.76%	15.62%	
tfidf + multi-view + 14b + cold  weighted	beauty	ubuntu:0	doing	0.0451	0.0599	0.0771	0.029	0.031	0.0322	0.033	0.0378	0.0421	0.0451	0.0599	0.0771	0.009	0.006	0.0039	0.0181	0.0211	0.0247	0.0294	0.0382	0.0479	0.0762	0.1026	0.1334	0.0128	0.0138	0.0147	0.0227	0.0255	0.0279	0.0554	0.0639	0.0717	0.011	0.0114	0.0117	0.0205	0.0216	0.0223	0.0486	0.0521	0.0542	0.0181	0.0211	0.0247	0.0294	0.0382	0.0479	0.0762	0.1026	0.1334	0.2151	0.1542	0.6307	0.1949	0.1535	0.6516	0.1729	0.1534	0.6737	30.35%	27.72%	29.36%	51.83%	49.76%	49.07%	43.48%	40.52%	39.87%	30.35%	27.72%	29.36%	30.43%	27.66%	30.00%	23.97%	23.39%	27.98%	13.95%	14.71%	20.35%	33.92%	30.53%	31.04%	37.63%	36.63%	37.38%	30.46%	28.79%	29.77%	46.95%	42.95%	41.98%	46.67%	44.30%	46.25%	40.41%	38.46%	38.51%	55.27%	52.34%	51.40%	23.97%	23.39%	27.98%	13.95%	14.71%	20.35%	33.92%	30.53%	31.04%	8.97%	-38.86%	14.65%	9.19%	-37.14%	12.91%	5.62%	-35.92%	12.90%	
tfidf + multi-view + 7b + alignweight for infer	beauty	ubuntu:1	doing	0.0456	0.0604	0.0778	0.029	0.0309	0.0321	0.0331	0.0379	0.0423	0.0456	0.0604	0.0778	0.0091	0.006	0.0039	0.0178	0.021	0.0248	0.0303	0.0396	0.0495	0.077	0.1031	0.1341	0.0122	0.0132	0.0142	0.023	0.026	0.0285	0.0556	0.0641	0.0719	0.0103	0.0108	0.011	0.0206	0.0218	0.0225	0.0486	0.0521	0.0542	0.0178	0.021	0.0248	0.0303	0.0396	0.0495	0.077	0.1031	0.1341	0.2123	0.1541	0.6336	0.1921	0.1538	0.6541	0.1695	0.1541	0.6763	31.79%	28.78%	30.54%	51.83%	49.28%	48.61%	43.91%	40.89%	40.53%	31.79%	28.78%	30.54%	31.88%	27.66%	30.00%	21.92%	22.81%	28.50%	17.44%	18.92%	24.37%	35.33%	31.17%	31.73%	31.18%	30.69%	32.71%	32.18%	31.31%	32.56%	47.48%	43.40%	42.38%	37.33%	36.71%	37.50%	41.10%	39.74%	39.75%	55.27%	52.34%	51.40%	21.92%	22.81%	28.50%	17.44%	18.92%	24.37%	35.33%	31.17%	31.73%	7.55%	-38.90%	15.18%	7.62%	-37.02%	13.34%	3.54%	-35.63%	13.34%	
																																																																																																																												
																																																																																																																												
