	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
base50ep	beauty		done	0.0346	0.0469	0.0596	0.0191	0.0207	0.0216	0.023	0.0269	0.0301	0.0346	0.0469	0.0596	0.0069	0.0047	0.003	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.0093	0.0101	0.0107	0.0174	0.0198	0.0215	0.0377	0.0447	0.0505	0.0075	0.0079	0.008	0.0146	0.0156	0.0161	0.0313	0.0342	0.0358	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.1974	0.2522	0.5501	0.1785	0.2442	0.5771	0.1637	0.2394	0.5967																																																													
tfidf	beauty	charlie	done	0.0455	0.0607	0.0783	0.029	0.031	0.0322	0.0331	0.038	0.0424	0.0455	0.0607	0.0783	0.0091	0.0061	0.0039	0.0182	0.0212	0.0249	0.0303	0.0395	0.049	0.0766	0.1037	0.1353	0.0125	0.0134	0.0144	0.023	0.0259	0.0283	0.0555	0.0643	0.0722	0.0105	0.011	0.0112	0.0206	0.0218	0.0224	0.0486	0.0522	0.0543	0.0182	0.0212	0.0249	0.0303	0.0395	0.049	0.0766	0.1037	0.1353	0.2233	0.1523	0.6244	0.2023	0.1532	0.6445	0.1775	0.1535	0.669	31.50%	29.42%	31.38%	51.83%	49.76%	49.07%	43.91%	41.26%	40.86%	31.50%	29.42%	31.38%	31.88%	29.79%	30.00%	24.66%	23.98%	29.02%	17.44%	18.62%	23.12%	34.62%	31.93%	32.91%	34.41%	32.67%	34.58%	32.18%	30.81%	31.63%	47.21%	43.85%	42.97%	40.00%	39.24%	40.00%	41.10%	39.74%	39.13%	55.27%	52.63%	51.68%	24.66%	23.98%	29.02%	17.44%	18.62%	23.12%	34.62%	31.93%	32.91%	13.12%	-39.61%	13.51%	13.33%	-37.26%	11.68%	8.43%	-35.88%	12.12%	
tfidf + llm	beauty	ubuntu:0	done	0.0444	0.0589	0.0761	0.0289	0.0308	0.032	0.0327	0.0374	0.0418	0.0444	0.0589	0.0761	0.0089	0.0059	0.0038	0.0176	0.0209	0.0244	0.0293	0.0375	0.0476	0.0749	0.1008	0.1316	0.0124	0.0134	0.0143	0.0226	0.0252	0.0278	0.055	0.0634	0.0711	0.0106	0.0111	0.0113	0.0204	0.0214	0.0221	0.0485	0.0519	0.054	0.0176	0.0209	0.0244	0.0293	0.0375	0.0476	0.0749	0.1008	0.1316	0.2104	0.1513	0.6382	0.1897	0.1503	0.66	0.1661	0.1501	0.6837	28.32%	25.59%	27.68%	51.31%	48.79%	48.15%	42.17%	39.03%	38.87%	28.32%	25.59%	27.68%	28.99%	25.53%	26.67%	20.55%	22.22%	26.42%	13.57%	12.61%	19.60%	31.63%	28.24%	29.27%	33.33%	32.67%	33.64%	29.89%	27.27%	29.30%	45.89%	41.83%	40.79%	41.33%	40.51%	41.25%	39.73%	37.18%	37.27%	54.95%	51.75%	50.84%	20.55%	22.22%	26.42%	13.57%	12.61%	19.60%	31.63%	28.24%	29.27%	6.59%	-40.01%	16.02%	6.27%	-38.45%	14.36%	1.47%	-37.30%	14.58%	
tfidf + multi-view + 7b	beauty	ubuntu:1	doing																																																																																																																									
tfidf + multi-view + 14b	beauty	ubuntu:2	doing																																																																																																																									
tfidf + multi-view + 32b	beauty	ubuntu:3	doing																																																																																																																									
tfidf + llm + notfidf	beauty	charlie	doing																																																																																																																									
																																																																																																																												
																																																																																																																												
																																																																																																																												
