seed 2024																																																																																																																												
	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty				0.0397	0.0531	0.068	0.0198	0.0216	0.0226	0.0247	0.0291	0.0328	0.0397	0.0531	0.068	0.0079	0.0053	0.0034	0.016	0.0187	0.021	0.0271	0.0353	0.0424	0.0665	0.0904	0.1179	0.0097	0.0106	0.0111	0.0168	0.0195	0.0212	0.0416	0.0493	0.0562	0.0076	0.0079	0.0081	0.0134	0.0145	0.015	0.0333	0.0365	0.0384	0.016	0.0187	0.021	0.0271	0.0353	0.0424	0.0665	0.0904	0.1179	0.1925	0.1916	0.6153	0.171	0.1791	0.6494	0.1532	0.1721	0.6744																																																												
tfidf					0.0436	0.056	0.0704	0.0296	0.0313	0.0322	0.0331	0.0371	0.0407	0.0436	0.056	0.0704	0.0087	0.0056	0.0035	0.0148	0.0164	0.0178	0.0279	0.0335	0.0392	0.0747	0.098	0.1254	0.0119	0.0124	0.0127	0.022	0.0238	0.0252	0.0562	0.0637	0.0706	0.0108	0.0111	0.0111	0.02	0.0208	0.0212	0.05	0.0531	0.055	0.0148	0.0164	0.0178	0.0279	0.0335	0.0392	0.0747	0.098	0.1254	0.177	0.1297	0.6932	0.1493	0.13	0.7207	0.1251	0.1302	0.7447	9.82%	5.46%	3.53%	49.49%	44.91%	42.48%	34.01%	27.49%	24.09%	9.82%	5.46%	3.53%	10.13%	5.66%	2.94%	-7.50%	-12.30%	-15.24%	2.95%	-5.10%	-7.55%	12.33%	8.41%	6.36%	22.68%	16.98%	14.41%	30.95%	22.05%	18.87%	35.10%	29.21%	25.62%	42.11%	40.51%	37.04%	49.25%	43.45%	41.33%	50.15%	45.48%	43.23%	-7.50%	-12.30%	-15.24%	2.95%	-5.10%	-7.55%	12.33%	8.41%	6.36%	-8.05%	-32.31%	12.66%	-12.69%	-27.41%	10.98%	-18.34%	-24.35%	10.42%
tfidf + llm					0.0443	0.0566	0.0711	0.03	0.0316	0.0326	0.0335	0.0375	0.0411	0.0443	0.0566	0.0711	0.0089	0.0057	0.0036	0.0152	0.0167	0.0181	0.0279	0.0342	0.0403	0.0761	0.0988	0.1265	0.0119	0.0124	0.0127	0.0221	0.0241	0.0257	0.057	0.0643	0.0713	0.0108	0.011	0.0111	0.0202	0.021	0.0214	0.0507	0.0538	0.0556	0.0152	0.0167	0.0181	0.0279	0.0342	0.0403	0.0761	0.0988	0.1265	0.1782	0.1336	0.6882	0.1511	0.1332	0.7157	0.1272	0.1331	0.7397	11.59%	6.59%	4.56%	51.52%	46.30%	44.25%	35.63%	28.87%	25.30%	11.59%	6.59%	4.56%	12.66%	7.55%	5.88%	-5.00%	-10.70%	-13.81%	2.95%	-3.12%	-4.95%	14.44%	9.29%	7.29%	22.68%	16.98%	14.41%	31.55%	23.59%	21.23%	37.02%	30.43%	26.87%	42.11%	39.24%	37.04%	50.75%	44.83%	42.67%	52.25%	47.40%	44.79%	-5.00%	-10.70%	-13.81%	2.95%	-3.12%	-4.95%	14.44%	9.29%	7.29%	-7.43%	-30.27%	11.85%	-11.64%	-25.63%	10.21%	-16.97%	-22.66%	9.68%
multi-view 7b					0.0449	0.0579	0.0735	0.0301	0.0318	0.0328	0.0337	0.0379	0.0418	0.0449	0.0579	0.0735	0.009	0.0058	0.0037	0.016	0.0181	0.0208	0.0292	0.0356	0.0429	0.0766	0.1006	0.1292	0.0119	0.0126	0.0133	0.023	0.0251	0.0269	0.0571	0.0648	0.072	0.0105	0.0108	0.011	0.021	0.0218	0.0223	0.0507	0.0538	0.0558	0.016	0.0181	0.0208	0.0292	0.0356	0.0429	0.0766	0.1006	0.1292	0.1717	0.1608	0.6675	0.1517	0.1615	0.6867	0.1355	0.1637	0.7008	13.10%	9.04%	8.09%	52.02%	47.22%	45.13%	36.44%	30.24%	27.44%	13.10%	9.04%	8.09%	13.92%	9.43%	8.82%	0.00%	-3.21%	-0.95%	7.75%	0.85%	1.18%	15.19%	11.28%	9.58%	22.68%	18.87%	19.82%	36.90%	28.72%	26.89%	37.26%	31.44%	28.11%	38.16%	36.71%	35.80%	56.72%	50.34%	48.67%	52.25%	47.40%	45.31%	0.00%	-3.21%	-0.95%	7.75%	0.85%	1.18%	15.19%	11.28%	9.58%	-10.81%	-16.08%	8.48%	-11.29%	-9.83%	5.74%	-11.55%	-4.88%	3.91%
multi-view 14b					0.0445	0.0579	0.0738	0.0298	0.0315	0.0326	0.0334	0.0377	0.0417	0.0445	0.0579	0.0738	0.0089	0.0058	0.0037	0.0151	0.0168	0.019	0.0284	0.0343	0.0413	0.0765	0.1015	0.1313	0.0113	0.0119	0.0125	0.0224	0.0243	0.026	0.0569	0.065	0.0725	0.0101	0.0103	0.0105	0.0204	0.0212	0.0216	0.0505	0.0538	0.0558	0.0151	0.0168	0.019	0.0284	0.0343	0.0413	0.0765	0.1015	0.1313	0.1433	0.1415	0.7152	0.1259	0.1417	0.7325	0.1118	0.1432	0.745	12.09%	9.04%	8.53%	50.51%	45.83%	44.25%	35.22%	29.55%	27.13%	12.09%	9.04%	8.53%	12.66%	9.43%	8.82%	-5.63%	-10.16%	-9.52%	4.80%	-2.83%	-2.59%	15.04%	12.28%	11.37%	16.49%	12.26%	12.61%	33.33%	24.62%	22.64%	36.78%	31.85%	29.00%	32.89%	30.38%	29.63%	52.24%	46.21%	44.00%	51.65%	47.40%	45.31%	-5.63%	-10.16%	-9.52%	4.80%	-2.83%	-2.59%	15.04%	12.28%	11.37%	-25.56%	-26.15%	16.24%	-26.37%	-20.88%	12.80%	-27.02%	-16.79%	10.47%
																																																																																																																												
																																																																																																																												
sasrec + 50ep	toy				0.0453	0.0589	0.072	0.0229	0.0247	0.0256	0.0285	0.0329	0.0362	0.0453	0.0589	0.072	0.0091	0.0059	0.0036	0.0159	0.0191	0.0214	0.0358	0.0461	0.0552	0.0797	0.1044	0.129	0.0096	0.0107	0.0113	0.022	0.0253	0.0276	0.0505	0.0585	0.0647	0.0076	0.008	0.0082	0.0174	0.0188	0.0194	0.0408	0.0441	0.0458	0.0159	0.0191	0.0214	0.0358	0.0461	0.0552	0.0797	0.1044	0.129	0.2151	0.2515	0.5329	0.197	0.2429	0.5597	0.1829	0.2383	0.5785																																																												
tfidf					0.0506	0.0634	0.0772	0.0347	0.0364	0.0373	0.0386	0.0428	0.0462	0.0506	0.0634	0.0772	0.0101	0.0063	0.0039	0.0165	0.0183	0.0202	0.0384	0.0468	0.0557	0.0904	0.1147	0.1412	0.0131	0.0137	0.0141	0.0296	0.0323	0.0346	0.0686	0.0764	0.0831	0.0119	0.0122	0.0123	0.0267	0.0278	0.0284	0.0614	0.0646	0.0665	0.0165	0.0183	0.0202	0.0384	0.0468	0.0557	0.0904	0.1147	0.1412	0.236	0.1886	0.5754	0.2124	0.1873	0.6003	0.1918	0.1874	0.6209	11.70%	7.64%	7.22%	51.53%	47.37%	45.70%	35.44%	30.09%	27.62%	11.70%	7.64%	7.22%	10.99%	6.78%	8.33%	3.77%	-4.19%	-5.61%	7.26%	1.52%	0.91%	13.43%	9.87%	9.46%	36.46%	28.04%	24.78%	34.55%	27.67%	25.36%	35.84%	30.60%	28.44%	56.58%	52.50%	50.00%	53.45%	47.87%	46.39%	50.49%	46.49%	45.20%	3.77%	-4.19%	-5.61%	7.26%	1.52%	0.91%	13.43%	9.87%	9.46%	9.72%	-25.01%	7.98%	7.82%	-22.89%	7.25%	4.87%	-21.36%	7.33%
tfidf + llm					0.0512	0.0637	0.0784	0.0351	0.0368	0.0378	0.0391	0.0432	0.0469	0.0512	0.0637	0.0784	0.0102	0.0064	0.0039	0.0169	0.0191	0.0217	0.0385	0.0472	0.0573	0.0914	0.1149	0.1426	0.0135	0.0142	0.0148	0.0299	0.0327	0.0352	0.0694	0.077	0.084	0.0123	0.0126	0.0128	0.027	0.0282	0.0289	0.0622	0.0653	0.0672	0.0169	0.0191	0.0217	0.0385	0.0472	0.0573	0.0914	0.1149	0.1426	0.2435	0.1852	0.5713	0.2223	0.1835	0.5943	0.204	0.1839	0.6121	13.02%	8.15%	8.89%	53.28%	48.99%	47.66%	37.19%	31.31%	29.56%	13.02%	8.15%	8.89%	12.09%	8.47%	8.33%	6.29%	0.00%	1.40%	7.54%	2.39%	3.80%	14.68%	10.06%	10.54%	40.63%	32.71%	30.97%	35.91%	29.25%	27.54%	37.43%	31.62%	29.83%	61.84%	57.50%	56.10%	55.17%	50.00%	48.97%	52.45%	48.07%	46.72%	6.29%	0.00%	1.40%	7.54%	2.39%	3.80%	14.68%	10.06%	10.54%	13.20%	-26.36%	7.21%	12.84%	-24.45%	6.18%	11.54%	-22.83%	5.81%
